,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,Mundo
CAN_A01_02,9604.2716,122.9053,29.7456,18.0223,5.4981,18884.0171,6.4734,6991.0126,1073.9426,21.0495,446.0347,3.448,188.7138,10.7489,10.5625,8.8932,1.7504,2.1833,7.9549,17.2569,2.8685,36.2257,53.1563,1.9025,1267.8577,116.3172,67.1905,1.1206,2.0322,26.1743,8.8609,992.7,12.7046,5.6977,6.8604,24.9432,14.3434,46.3015,14.4122,323.1152,35.8698,52.9512,18.6689,35.7439,0.0,521.0952,12.1615,1.4774,0.6742,0.074,1131.8683,289.0294,107.6943,59.5422,0.1255,64.7719,131.0043,39.8129,1.5284,1.2676,1.3635,0.3428,0.3312,1.1626,0.1772,0.0763,18.9584,0.4975,0.7796,74.0907,2.4106,6.142,0.2342,2.4733,21.1589,0.312,55.3582,0.2266,3.1293,0.0794,0.1376,0.6397,22.8504,2.3187,0.2741,6.1579,4.4531,6.5085,1.0081,0.0,11.8296,0.0023,0.0157,0.0228,0.0013,123.7901,0.3355,0.061,0.0607,0.1311,0.2744,0.0287,1.5684,0.1245,0.1584,0.0707,0.0802,0.0842,0.2181,0.2455,0.0283,0.0861,0.1899,0.0648,0.1582,3.0042,0.2772,0.0985,0.0192,0.6005,0.0435,2.7471,0.0403,0.0269,0.059,0.1077,2.8083,0.1657,1.8273,2.6446,0.3686,2.067,0.1149,0.1876,0.0,66.321,0.1567,0.0081,0.0107,0.0118,469.5881,8.0607,0.7882,0.0423,0.011,1.0538,0.7985,0.2437,0.7879,0.1006,0.0821,0.4801,0.0675,0.0639,0.3388,0.02,0.5803,0.011,0.0057,0.7885,14.9369,0.0227,0.0003,0.0024,0.0081,0.0006,6.2058,0.0041,0.009,0.0011,0.0032,0.006,0.0075,0.0137,0.0334,0.3725,0.0973,0.003,0.0087,0.0,1261.6708,0.0237,5.6085,0.9257,1.0216,3258.071,33.7075,97.2216,37.1664,39.8373,136.0738,3.6031,15.1869,0.5813,2.3211,2.1327,0.3804,0.5924,2.0706,3.8269,1.0173,9.8011,3.764,0.1467,54.3899,48.911,1.9915,1.0981,0.1937,0.4082,0.1882,6.4499,0.4936,0.6939,1.0928,0.99,2.7391,12.686,15.3035,59.5373,7.1691,1.8599,5.3693,0.9516,0.0,4550.531600000009
CAN_A03,83.6568,48.6346,0.156,0.0415,0.0286,1429.9484,0.0085,0.0243,0.0418,0.062,0.4229,6.3718,0.1845,0.024,0.0321,0.0237,0.0105,0.0068,0.0228,0.0661,0.022,0.0298,0.0582,0.0106,1.2228,0.5558,0.2089,0.002,0.0102,0.0894,0.0292,179.6458,0.0366,0.0493,0.0513,0.3127,0.0869,0.195,0.1024,1.2785,0.0976,0.113,0.0327,0.0685,0.0,0.4719,0.4291,0.0005,0.0005,0.0001,1.4412,0.2648,0.018,0.0566,0.0002,0.0736,0.118,0.0008,0.0017,0.0027,0.0007,0.001,0.0006,0.0016,0.0005,0.0001,0.0115,0.001,0.0068,0.0519,0.0041,0.0042,0.014,0.001,0.0189,0.002,0.3049,0.0003,0.0038,0.0005,0.0003,0.001,0.0468,0.0034,0.0002,0.0112,0.0051,0.0074,0.0014,0.0,0.0106,0.0049,0.0,0.0001,0.0,0.1836,0.0003,0.0001,0.0004,0.0002,0.0008,0.0002,0.0015,0.0003,0.0004,0.0001,0.0001,0.0004,0.0007,0.0008,0.0001,0.001,0.0006,0.0001,0.0007,0.0053,0.0006,0.0003,0.0,0.0016,0.0001,0.0198,0.0001,0.0001,0.0005,0.0004,0.0026,0.0009,0.0021,0.0027,0.0007,0.0091,0.0007,0.0002,0.0,0.0592,0.0001,0.0,0.0,0.0,0.4197,0.0072,0.0002,0.0001,0.0,0.0009,0.0007,0.0001,0.0008,0.0002,0.0001,0.0004,0.0001,0.0001,0.0005,0.0,0.0005,0.0,0.0,0.0008,0.0134,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0,3.3881,9.7426,0.0149,0.0012,0.0016,401.8116,0.0301,0.0018,0.0032,0.11,2.0025,0.0046,0.0017,0.001,0.0044,0.0041,0.0022,0.001,0.0035,0.0056,0.0021,0.0059,0.0113,0.0006,0.0377,38.8256,0.0032,0.2045,0.0009,0.001,0.0006,278.0595,0.0029,0.0023,0.0039,0.0106,0.0026,5.5873,0.0191,25.8493,5.5925,0.0095,8.7816,8.6278,0.0,5.9569999999999865
CAN_B05_06,361.9452,5.706,5419.6778,393.2715,642.2829,456.7562,18.5404,136.0653,343.2212,30401.9735,2328.4975,32.4222,92.7021,321.7244,842.5698,123.6382,18.1256,17.4258,98.1629,91.5434,49.0578,98.5834,1851.2243,30.8348,2799.2005,2234.4375,297.8467,26.9328,28.8808,164.4481,159.958,188.252,128.6461,54.8644,53.7931,910.4659,1518.4729,406.9587,278.3601,719.4286,728.7794,718.1795,120.8396,296.7041,0.0,0.1359,0.0094,62.079,2.4697,0.3442,2.0409,1.7103,0.5174,3.7835,69.8418,37.8247,0.5122,1.7431,36.4486,41.5529,2.2781,0.3082,0.6176,2.6235,0.5122,0.2321,0.6595,143.6391,0.8051,1.6764,1.3779,1.5587,0.1281,0.1066,0.0907,0.1273,0.1954,0.0639,0.083,1.6372,0.9676,0.2799,0.761,0.0489,0.6626,0.5026,0.5795,0.0412,0.1672,0.0,0.1367,0.0004,1.2506,0.403,0.0457,2.3692,0.1027,0.0499,0.754,5.5588,1.7152,0.1136,0.1046,1.2543,6.4788,0.1224,0.0589,0.2102,0.7441,0.488,0.1347,0.3578,56.9864,0.2743,0.8238,1.1947,0.105,0.0283,0.0155,0.1195,0.0393,0.2073,0.1238,0.0672,0.2924,0.544,0.2826,1.3427,0.4472,0.6728,0.0539,0.474,0.0594,0.0528,0.0,0.0466,0.012,0.0126,0.0609,0.0143,0.1495,0.0124,0.0009,0.0083,0.016,0.2178,0.0143,0.0192,1.6299,0.0469,0.0198,0.1118,0.0373,0.1785,0.2628,0.0108,0.0314,0.1043,0.0031,1.1839,0.056,0.0687,0.0014,0.002,0.0234,0.0002,0.0021,0.0016,0.0012,0.0011,0.0059,0.0026,0.0028,0.0067,0.0107,0.0017,0.0036,0.0013,0.0045,0.0,3.4446,0.0099,6996.892,2.4806,1.6366,4.1169,0.3265,0.3384,3.1151,66688.3106,1390.2197,2.2686,0.8844,10.8529,22.6173,1.7026,2.7144,0.3961,4.4278,2.9156,1.7144,1.1224,5874.2338,1.1927,17.3047,24.4092,12.0924,0.3655,1.3514,1.2584,0.7588,10.2364,2.8848,2.0428,3.9159,12.8954,4.2377,14.4012,7.6045,3095.5455,3.0976,12.0106,1.3055,2.0118,0.0,4774.1619000000255
CAN_B07_08,335.4528,7.3063,346.5375,171.1803,59.9699,40.3678,1.6771,6.8281,126.8292,320.4327,316.8293,4.9603,12.7272,1332.2348,9979.5382,23.0372,7.3898,3.605,48.2681,21.3516,13.2955,1638.6428,209.2,3.6611,1761.412,222.5917,13.9142,3.3331,3.058,50.3587,2.5614,18.2768,24.1611,20.122,15.7799,140.9917,44.8996,89.867,46.321,368.8609,45.7182,176.1798,9.3072,18.0172,0.0,0.0875,0.0102,26.924,225.158,0.0806,0.6819,0.0667,0.0705,0.4604,0.5875,61.6277,5.2986,8.5515,110.9522,1821.3927,30.2552,1.8464,9.007,5.2731,0.6929,0.186,0.6734,2.2174,2.6396,57.8119,1.6344,0.113,0.0388,0.0441,0.0615,0.0191,0.0162,0.0091,0.0333,0.0466,0.308,0.3794,2.6385,0.4174,0.032,0.0105,0.0593,0.005,0.192,0.0,0.4227,0.0098,0.0212,48.4785,1.7064,16.2964,0.0103,0.0131,13.5961,14.5202,29.4971,1.0959,12.8548,227.3168,122.0827,12.8235,6.2063,56.8012,58.9308,66.8173,2.1156,28.5792,0.6148,2.5905,194.7195,24.9943,0.0748,0.4916,0.0045,0.6912,0.3392,3.3135,0.6415,0.2792,0.0664,0.1816,0.1856,3.4124,2.0729,1.978,0.0167,6.1508,0.7218,0.1387,0.0,1.6341,0.4593,0.0559,2.267,0.1165,4.9483,0.0535,0.0029,0.1115,0.1832,8.8657,0.4385,0.5121,63.6886,16.5912,0.289,0.3936,0.1549,0.9262,1.5451,0.0541,0.2071,3.9933,0.0565,43.0252,0.1584,0.2062,0.0041,0.0048,0.1041,0.0008,0.0219,0.0038,0.0035,0.0027,0.003,0.0059,0.0047,0.017,0.0575,0.0042,0.0353,0.0029,0.0123,0.0,35.8195,0.0006,19.6638,100.351,3.6815,9.7772,0.0881,0.2285,11.8078,0.6359,163.8229,0.7752,0.6306,336.5342,540.4364,16.5402,1.2261,3.9666,13.0841,6.8404,5.3718,9.0728,35.6949,15.4213,471.6925,9.5064,5.1648,0.0707,0.162,0.9071,0.2057,5.1399,3.8184,5.5019,12.2836,4.4476,1.4625,29.6318,14.8007,55.6606,7.7428,6.8222,22.8081,21.3718,0.0,7692.781100000029
CAN_B09,5.6666,0.0619,8787.0109,1108.6408,791.2848,8.4436,0.3212,1.5091,2.4503,1.6899,3.1356,1.0836,1.9947,2.1573,1.9386,1.7516,1.1263,0.4456,2.0622,1.4838,3.4832,2.0409,8.8093,0.9176,13626.2522,79.6839,4.2426,0.0635,1.1837,1.9652,0.8062,5.3103,4.5595,8.1319,11.7792,65.1163,19.1642,30.2236,17.1769,28.2136,6.6927,14.6934,2.8492,6.2125,0.0,0.0119,0.0005,7.79,0.4244,0.053,0.2118,0.0159,0.0094,0.0193,0.0044,0.0364,0.0183,0.0145,0.0285,0.0212,0.0194,0.0495,0.0292,0.0474,0.0185,0.0041,0.0103,0.0838,0.0041,1.0124,0.2412,0.0189,0.0051,0.0043,0.0087,0.0043,0.0061,0.0031,0.0175,0.0336,0.0792,0.0394,0.0589,0.0056,0.0212,0.0053,0.0039,0.002,0.0031,0.0,0.0361,0.0005,0.9613,0.4571,0.1974,0.081,0.0044,0.0069,0.1027,3.7028,0.3786,0.0173,0.0369,0.6459,1.4139,0.1705,0.0149,0.0296,0.1407,0.0564,0.0084,0.0292,1.8499,0.0578,2.3214,0.142,0.079,0.0032,0.0092,0.185,0.008,0.0103,0.0249,0.0159,0.1166,0.1032,0.1405,0.2823,0.143,0.164,0.0182,0.0719,0.0128,0.0222,0.0,0.002,0.0,0.0058,0.0007,0.002,0.0093,0.0025,0.0001,0.0015,0.0008,0.0027,0.0017,0.0017,0.0015,0.0039,0.0038,0.0151,0.0037,0.0042,0.0172,0.0011,0.0027,0.0005,0.0002,0.009,0.0049,0.0019,0.0,0.0003,0.0008,0.0001,0.001,0.0004,0.0008,0.0002,0.0014,0.0007,0.001,0.0009,0.002,0.0006,0.0026,0.0003,0.0003,0.0,0.0821,0.0003,20.3879,1.9185,1.8487,0.3337,0.0338,0.0561,0.1207,0.1226,0.2688,0.2904,0.108,0.057,0.1288,0.2514,0.3584,0.0498,0.3211,0.2341,0.2305,0.1461,0.1826,0.0745,2.088,3.1273,0.1762,0.0224,0.0277,0.0854,0.0693,1.1037,0.4193,0.3062,0.6569,1.8487,0.3702,2.0334,1.1434,1.3457,0.2424,1.5602,0.153,0.2605,0.0,304.07249999999954
CAN_C10T12,2854.9163,188.8571,147.8918,41.2748,31.5171,11221.8347,21.1902,25.1314,90.4407,21.8142,100.7441,46.7781,37.7543,34.5767,33.2599,43.7373,19.1389,10.1812,52.2088,40.7911,39.1305,77.6874,63.7552,17.039,398.4909,901.7389,48.1998,5.3348,19.75,35.5221,10.0639,9100.851,86.8286,64.9026,71.1193,378.3814,173.1374,298.1582,171.0118,415.6892,272.019,874.496,241.6735,127.8361,0.0,157.9595,12.4388,0.5065,0.3833,0.0239,237.6951,14.9084,0.9999,1.9744,1.2092,34.8013,4.7794,0.9108,2.043,0.8663,0.5771,2.4192,0.9556,1.5453,0.5441,0.2257,0.9649,2.278,0.656,2.5991,7.1456,1.24,1.5747,2.4256,3.3905,0.1001,75.8571,1.0652,1.6089,1.1882,0.8657,2.7634,10.5994,1.1755,3.1658,8.8707,6.7644,0.6561,3.087,0.0,2.5969,0.0018,0.0084,0.0211,0.0015,13.2267,0.1127,0.0414,0.1187,0.0538,1.394,0.3661,0.1804,0.0874,0.2076,0.1948,0.3022,0.2516,0.7343,0.596,0.1018,0.4285,0.166,0.0905,0.323,1.1313,0.0755,0.1426,0.0436,0.0883,0.0313,7.3313,0.1466,0.0799,0.1892,0.5267,0.2257,0.8516,0.3442,2.2019,0.397,5.2381,0.0998,0.2167,0.0,17.446,0.0146,0.0693,0.0714,0.0558,55.4429,1.5009,0.0217,0.5724,0.0971,0.9737,0.7299,0.2392,0.1855,0.4265,0.4375,2.0651,0.4267,0.5291,1.9985,0.1221,0.6922,0.0681,0.0271,1.0452,1.1054,0.2143,0.0028,0.0321,0.0749,0.004,9.8032,0.0826,0.0742,0.0116,0.0747,0.1158,0.492,0.2492,1.8266,0.2453,1.2119,0.1341,0.0635,0.0,490.4951,3.0716,5.4823,0.8893,1.6964,1911.4713,13.9843,3.9395,29.6732,12.1525,51.8535,30.3682,8.3782,4.1874,8.3946,8.9212,3.1756,2.6804,10.7237,10.4438,6.1423,6.4537,2.2686,1.0338,22.859,116.5766,2.8179,4.2187,2.8912,1.2541,0.8668,642.1225,3.3597,2.8957,4.023,7.1587,5.1388,66.8794,6.7153,369.6182,219.1579,259.5653,41.5065,26.0847,0.0,1454.413700000001
CAN_C13T15,43.2309,8.7453,8.0612,3.3107,2.4924,25.9654,252.4873,5.2763,33.7518,2.7233,21.8875,2.0792,62.666,8.3965,4.5617,6.6925,1.7775,1.3793,8.8641,93.8586,3.3221,138.6333,2.9624,4.3003,353.3546,40.3733,5.6171,0.7983,1.1315,5.4673,0.7121,54.4694,8.3181,3.6459,3.7281,12.9619,5.9914,30.5331,9.3136,75.9097,37.8591,114.347,16.5348,36.9075,0.0,0.2374,0.0086,0.0605,0.0445,0.0049,0.3846,4.7115,0.1276,0.5978,0.0141,0.3848,0.1275,0.2897,0.2214,0.1093,0.0971,0.331,0.1651,0.247,0.2309,0.0412,0.3156,0.0448,0.032,0.3855,0.1276,0.0505,0.0047,0.0098,0.0212,0.0088,0.0811,0.0347,0.0185,0.0442,0.0586,0.0382,0.3308,0.0254,0.1956,0.044,0.1308,0.0093,0.0253,0.0,0.018,0.0042,0.0006,0.0017,0.0002,0.0506,0.3699,0.0052,0.0242,0.0051,0.0468,0.0165,0.1389,0.0105,0.0284,0.0363,0.0464,0.0425,0.1176,0.224,0.0218,0.1341,0.0192,0.01,0.0785,0.116,0.0061,0.002,0.0025,0.0075,0.0049,0.0326,0.0064,0.0058,0.0192,0.0167,0.0077,0.0362,0.029,0.0324,0.0078,0.0867,0.0114,0.0162,0.0,0.4775,0.0495,0.0138,0.0112,0.0104,0.3324,17.2633,0.0114,2.4232,0.0204,0.2885,0.0263,0.5937,0.0635,0.1,0.2118,0.4931,0.1174,0.146,11.4613,0.0924,2.3093,0.0117,0.0136,0.2452,0.6994,0.6051,0.0076,0.0065,0.0151,0.0145,1.0579,0.0593,0.0135,0.0015,0.0091,0.1868,0.0247,0.1465,0.2614,0.1672,0.3915,0.0237,0.2357,0.0,2.6628,0.1348,0.7391,0.1493,0.2794,3.3985,35.6947,2.5803,14.2152,1.5312,2.6512,0.6918,9.7532,1.8281,1.3801,2.0825,0.3469,0.4405,6.1467,23.0245,4.918,18.111,0.3054,0.5473,12.0894,29.8015,0.5827,1.0963,0.1551,0.4038,0.4195,8.237,0.8298,1.2503,0.3639,0.3382,1.3677,2.1279,2.83,15.408,2.7073,14.7346,1.5959,6.1869,0.0,49.29440000000058
CAN_C16,120.6907,3.4155,37.6229,15.4586,9.9031,107.0718,17.7199,2489.6657,1823.2145,19.2424,26.0152,7.8665,63.2875,46.9789,25.0067,40.2991,4.7316,3.7491,28.7656,34.0532,26.1846,889.4162,26.8544,10.5302,8426.035,207.1555,49.0455,3.4256,17.267,9.6806,8.061,23.3701,11.4861,12.8881,15.4712,77.7217,36.1576,47.5588,39.5343,99.1358,18.459,62.231,14.5627,16.2179,0.0,0.8308,0.0861,30.2136,2.491,0.0325,1.8431,3.9775,257.4355,17.716,0.2354,5.0914,0.2115,4.1094,16.1507,5.3224,20.0309,2.9599,5.6216,18.1116,2.0838,1.4246,116.7678,0.1145,1.1712,256.5918,1.8113,0.5574,0.0855,0.0357,0.1073,0.4235,0.3142,0.0547,0.0531,0.0781,0.3374,1.501,0.9368,0.0936,0.2793,0.0499,0.0499,0.2776,0.5031,0.0,0.0433,0.0003,0.0071,0.0178,0.0006,0.1383,0.0251,2.4878,0.1471,0.0351,0.1781,0.0323,0.0617,0.0602,0.0631,0.1716,0.1057,0.0827,0.2586,0.2807,0.1778,1.0342,0.0825,0.0555,2.0505,0.3399,0.0379,0.009,0.0289,0.0641,0.0131,0.0461,0.0451,0.0318,0.0593,0.1512,0.0888,0.2594,0.203,0.1559,0.0833,0.2849,0.0395,0.3421,0.0,0.3023,0.0252,0.0392,0.2981,0.5594,2.0049,0.5016,2.6621,0.2874,0.0334,0.5983,0.6396,0.3082,0.4681,0.3393,0.8647,1.1558,0.4232,0.3129,2.4989,0.0579,4.9436,0.1708,0.3395,7.5888,1.5809,0.0659,0.0008,0.0302,0.0243,0.0095,0.1316,0.0336,0.007,0.0027,0.0301,0.0645,0.1003,0.246,0.0801,0.05,0.2836,0.0462,0.0231,0.0,19.6872,2.2615,4.571,2.1285,9.3037,22.6539,2.4157,1137.0186,271.8857,2.2431,15.7541,1.4291,74.0481,20.2475,25.017,41.6837,8.5616,11.2009,59.4932,167.4882,15.7267,352.2391,2.2727,1.2831,2114.2539,232.2371,94.3295,0.5861,3.2722,12.1497,5.4522,70.3107,14.04,38.8396,69.2769,7.2435,237.4985,37.1771,68.1897,68.2004,115.3511,74.5412,8.0191,23.0353,0.0,1079.8570999999972
CAN_C17_18,164.0176,16.2672,114.065,25.7141,19.7994,1272.0275,31.1047,77.4978,3151.7748,30.3456,145.6867,59.4286,134.3856,91.384,28.2698,84.7238,41.0101,37.8015,82.1866,44.6254,38.8604,162.1844,38.0262,29.6537,556.8616,1761.0389,57.3244,7.3021,15.8552,82.4265,55.4322,194.524,862.7865,336.6845,170.0841,784.5639,146.9013,720.1822,276.3555,471.9258,566.8769,689.3408,306.5862,407.5254,0.0,0.9445,0.0482,0.7558,2.0846,0.0789,70.3537,26.1123,9.1919,702.3845,0.4797,32.9682,13.0176,16.4564,87.0113,5.0968,15.008,45.0309,48.434,33.9675,5.135,1.5691,42.1133,4.7553,2.2187,12.1754,49.8823,5.042,0.2049,0.5601,1.943,2.535,4.7567,15.4679,0.9196,15.6741,19.2064,17.6016,179.3249,10.2819,35.7668,24.0168,1.6093,0.1966,6.3285,0.0,0.086,0.0046,0.01,0.1375,0.0016,6.0983,0.6072,0.1417,21.4821,0.0347,3.0509,1.5095,0.9128,0.5323,0.0916,0.739,0.99,1.1025,1.1178,0.7218,0.1214,1.1089,0.0846,0.0938,0.9369,5.7291,0.0783,0.0126,0.0155,0.1244,0.0835,0.1404,1.0117,0.1348,0.216,0.5476,0.1159,1.9432,0.8643,0.4451,0.2115,0.9947,0.1391,0.2026,0.0,1.2997,0.0039,0.0562,0.0886,1.3312,14.0133,3.818,0.3064,45.4427,0.2043,2.0907,1.7712,1.9539,2.3343,0.4124,2.1247,6.2045,1.8859,1.0163,4.9487,0.1596,5.05,0.0479,0.2202,0.6169,16.2414,0.5952,0.0088,0.0062,0.2754,0.1328,3.4566,0.1123,0.0906,0.1435,1.613,1.2992,1.0072,6.0001,2.9706,2.937,1.5374,0.3679,0.1856,0.0,18.881,0.0037,9.1777,6.8527,5.4915,875.1118,19.195,23.4293,2011.4576,4.3537,245.3357,76.0157,188.0425,55.0641,90.1447,104.2604,22.0243,43.9918,95.0879,103.8809,29.3691,117.0968,3.0136,12.0238,101.7397,408.3957,52.9227,2.4214,1.9351,97.2531,54.4122,187.9057,138.6604,25.0583,39.1799,92.8266,41.6454,205.8867,191.6015,331.0613,230.2391,310.7357,12.8896,50.7655,0.0,1903.8891
CAN_C19,2488.2402,126.9839,1388.3971,858.8592,745.094,274.1513,21.6486,213.115,194.5246,2491.6869,1152.5884,49.3945,168.3042,186.2289,353.1729,97.8572,14.1407,17.6908,57.223,54.0068,47.3044,407.4091,378.4273,380.5196,5210.0466,3039.4258,6298.4909,581.7612,2909.1509,313.3927,407.5034,323.7511,118.7298,227.4657,98.9039,851.6785,871.026,532.6076,1424.1182,1630.4584,1031.8453,1308.084,145.7889,625.2959,0.0,5.1069,0.18,1.2728,1.3433,0.1294,0.7039,2.1419,0.6044,1.739,1.8266,19.4474,0.4502,4.9081,3.6844,4.1162,1.1088,1.4998,1.6687,1.0399,0.4037,0.1611,0.5798,1.5449,0.3259,4.7441,0.7453,3.7631,1.0447,0.7738,0.9038,0.0948,0.1471,0.1101,0.0566,0.1788,0.2332,0.1361,3.1131,0.5193,0.642,0.3697,1.1327,0.0662,0.2465,0.0,1.352,0.0057,0.0195,0.1332,0.0176,0.3692,0.1733,0.1163,0.2735,4.4013,5.8511,0.3562,0.9142,0.7401,0.9754,0.2157,0.1502,0.253,0.4058,0.5614,0.0722,0.2279,1.4186,0.3228,2.4052,2.8984,2.0774,1.2546,4.5909,2.8659,0.4387,0.146,0.2205,0.0887,0.1313,0.135,0.0532,0.7153,0.6427,1.1914,0.178,0.3673,0.1601,0.353,0.0,1.0292,0.0435,0.4019,0.2709,0.1562,1.2154,0.3652,0.0445,0.39,2.3195,3.3112,0.579,1.5266,0.5306,0.338,0.2332,0.5206,0.3173,0.1615,1.044,0.0343,0.364,0.7751,0.0599,0.7588,0.5284,1.9983,0.0095,0.275,0.0733,0.0374,0.2251,0.062,0.0223,0.0052,0.027,0.1555,0.197,0.2666,0.2915,0.077,0.3723,0.0625,0.1034,0.0,180.8727,4.2708,195.8991,53.6294,69.8719,52.8099,9.6487,17.2242,73.8707,742.2436,342.761,21.3389,62.8565,94.4477,55.9133,24.0581,4.5019,26.6658,35.6409,13.7973,7.6457,20.2986,417.5449,29.1625,447.6043,148.2649,982.6309,98.2594,591.5471,79.393,130.9075,59.564,8.3883,7.3365,16.0101,161.4582,80.145,57.716,105.4582,1199.3617,428.4769,103.3597,14.241,42.3194,0.0,365.54110000000014
