,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,Mundo
CAN_A01_02,5193.1615,104.8367,12.8458,6.2453,2.7808,9384.2814,100.774,4927.4768,774.52,9.602,293.5482,5.6528,132.5348,4.3969,8.2407,7.131,3.6104,3.5785,4.6959,16.9182,2.6775,34.0238,14.2678,1.1031,438.7389,120.4337,35.5165,0.5363,1.1461,7.4803,5.7087,511.2337,7.6945,4.4154,3.6656,26.103,9.7792,25.2892,6.4416,282.8834,21.7191,34.1923,4.3202,9.4558,0.0,35.2881,1.1041,0.0703,0.1983,0.0079,72.5496,16.7421,0.6795,2.0973,0.0156,1.6512,2.7145,0.4001,0.2475,0.0918,0.0588,0.1077,0.0618,0.0905,0.0306,0.0257,2.0511,0.0485,0.2968,13.0422,1.4623,0.0373,0.0159,0.1395,1.5758,0.0057,6.2715,0.0214,0.0922,0.0208,0.0713,0.0367,0.7972,0.1844,0.1143,0.4091,0.234,0.0221,0.053,0.0,1.3465,0.0008,0.0124,0.0168,0.0006,39.4807,0.3303,0.4728,0.193,0.0557,0.2735,0.0826,0.2545,0.0491,0.1563,0.0527,0.0523,0.0428,0.0983,0.1349,0.0214,0.1031,0.0455,0.0218,0.1815,1.0071,0.1163,0.0268,0.005,0.3388,0.0052,1.1825,0.0212,0.0112,0.0113,0.1039,0.7232,0.0856,0.0535,1.0246,0.1245,0.7688,0.1139,0.0559,0.0,29.1301,0.1058,0.0162,0.0075,0.0077,127.0291,7.5023,1.0917,0.0274,0.0053,0.9421,0.0056,0.2112,0.4631,0.0644,0.0336,0.1346,0.0363,0.024,0.1093,0.0116,0.1981,0.0282,0.0028,1.4621,5.6136,0.011,0.0002,0.0048,0.0027,0.0005,0.0458,0.0033,0.0069,0.0007,0.0352,0.0124,0.0111,0.0141,0.0161,0.1312,0.0204,0.0031,0.0082,0.0,552.4108,0.7884,2.4405,0.3047,0.1161,1222.6162,24.2792,152.7879,44.8645,10.8713,38.6469,5.9331,13.1044,0.8031,0.9793,1.6606,1.6992,0.7473,1.9694,3.6864,0.7836,10.8745,5.0176,0.0912,53.1021,27.871,1.4232,0.2131,0.1575,0.1889,0.2602,22.6122,1.7771,0.6829,0.8751,1.5968,1.5283,4.1685,5.9366,29.3162,6.6481,2.9329,3.1977,1.6297,0.0,1322.2576999999962
CAN_A03,117.7467,61.4568,0.1364,0.0452,0.0166,1262.7006,0.1722,0.026,0.1161,0.0338,0.5025,12.2622,0.2301,0.0232,0.0492,0.0243,0.0589,0.0298,0.0245,0.2162,0.048,0.0824,0.0274,0.0068,0.6079,1.7583,0.0317,0.0019,0.0043,0.0195,0.0239,60.6295,0.0804,0.1547,0.1117,0.6533,0.2884,0.281,0.1716,2.5899,0.1585,0.5392,0.0437,0.051,0.0,0.0576,0.0044,0.0002,0.0003,0.0,0.1159,0.0253,0.0006,0.0028,0.0002,0.0031,0.0044,0.0002,0.0005,0.0003,0.0002,0.0004,0.0003,0.0004,0.0002,0.0001,0.0028,0.0004,0.0006,0.0176,0.0039,0.0002,0.0001,0.0006,0.0022,0.0,0.0192,0.0001,0.0005,0.0002,0.0004,0.0005,0.0029,0.0005,0.0002,0.0012,0.0005,0.0001,0.0002,0.0,0.0026,0.0007,0.0,0.0,0.0,0.0662,0.0005,0.0,0.0002,0.0001,0.0017,0.0016,0.0006,0.0002,0.0002,0.0002,0.0005,0.0006,0.0006,0.0012,0.0001,0.0007,0.0003,0.0004,0.0004,0.0024,0.0003,0.0001,0.0,0.0002,0.0001,0.0075,0.0002,0.0002,0.0001,0.0015,0.0024,0.0025,0.0017,0.003,0.0006,0.0041,0.0007,0.0002,0.0,0.0463,0.0002,0.0,0.0,0.0,0.2017,0.0113,0.0013,0.0001,0.0,0.0014,0.0002,0.0002,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0018,0.0081,0.0001,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0003,0.0003,0.0,0.0,0.0,1.903,6.2947,0.0001,0.0003,0.0001,256.6848,0.0376,0.0001,0.0081,0.0003,0.8661,0.0121,0.0006,0.001,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0023,0.0005,0.0,0.0209,17.7578,0.0003,0.0806,0.0007,0.0,0.0,129.9359,0.0012,0.0001,0.0002,0.0002,0.0007,1.6103,0.0069,15.9122,3.4352,0.069,6.7817,5.6847,0.0,3.0554000000000388
CAN_B05_06,141.4042,21.2897,548.95,113.0787,54.7907,196.3563,26.3249,85.5213,366.0419,9005.0459,848.6704,11.7523,37.2074,154.6332,419.0382,72.9117,10.0139,16.4417,50.7324,94.4918,16.8672,48.2257,1032.5875,23.4499,184.5294,669.8853,388.5754,42.3654,156.5235,27.4896,26.4678,55.4398,26.0581,16.883,6.9674,226.3876,401.5626,63.9094,59.2147,167.9105,187.9258,140.9569,15.0527,42.7901,0.0,0.0362,0.0069,0.0738,0.0407,0.0054,0.0219,0.0399,0.0074,0.0176,0.0189,0.0438,0.0068,0.0156,0.069,0.0917,0.0267,0.04,0.0638,0.4253,0.1013,0.0603,0.0148,0.0599,0.0185,0.2231,0.0705,0.0306,0.0173,0.0118,0.0061,0.0048,0.0062,0.0015,0.0169,0.0198,0.0442,0.0236,0.0836,0.0107,0.0209,0.0206,0.0368,0.0004,0.0017,0.0,0.1947,0.0002,0.3375,0.0593,0.0028,0.2195,0.065,0.0205,0.2732,1.3255,0.4921,0.1241,0.0646,0.5204,0.6291,0.0956,0.0481,0.0664,0.7469,0.2517,0.0496,0.1035,9.2201,0.1279,0.18,0.1615,0.1028,0.0189,0.0331,0.0603,0.0121,0.0192,0.0181,0.016,0.0152,0.1319,0.0583,0.1203,0.0609,0.2419,0.0505,0.0704,0.0156,0.0154,0.0,0.0064,0.0035,0.6993,0.0399,0.0023,0.0237,0.0187,0.0031,0.0093,0.0201,24.7024,0.027,0.0239,0.0556,12.4772,0.0816,0.1694,0.2431,0.3345,0.2653,0.0319,0.1002,8.3698,0.0099,0.1878,0.0905,0.0585,0.0002,0.0104,0.011,0.0016,0.0067,0.0045,0.0103,0.0002,0.0522,0.0159,0.0037,0.0297,0.0176,0.0055,0.0068,0.0072,0.0102,0.0,11.4908,0.1791,1941.9767,3.2604,1.239,5.5841,0.626,1.3686,7.3148,14611.0426,448.812,1.3409,2.3267,5.2145,22.8896,3.8976,2.1579,2.1664,17.9395,10.5947,2.2341,2.1911,6351.4352,3.5609,44.844,10.5264,18.7917,2.0736,21.5244,1.4307,6.8415,8.6544,1.836,1.6295,1.9092,9.4061,2.2061,5.9508,9.733,996.1029,22.299,3.7137,2.1801,2.8667,0.0,648.9791999999961
CAN_B07_08,6.6064,2.5523,40.7223,81.181,13.2438,18.4499,0.9338,7.0426,48.7374,11.3659,33.8489,4.5426,9.9852,299.9592,2339.7131,15.5066,4.6447,21.5563,10.6282,49.4541,10.5117,185.7255,38.8686,0.6734,560.5292,15.2356,2.5719,0.5092,1.9996,9.1834,0.4082,7.2318,3.4728,2.0131,2.73,17.6099,3.6971,8.2603,8.6259,35.7226,6.4975,29.8641,1.7346,1.5748,0.0,0.2034,0.0441,2.0542,22.4224,0.0131,0.2979,0.0372,1.261,0.1344,0.251,10.9813,0.2962,0.7681,13.199,129.3552,11.0647,0.4376,4.1925,6.3507,1.0051,0.3113,0.2704,0.5697,0.4925,18.9013,0.1479,0.3422,0.0049,0.0047,0.0091,0.0015,0.0035,0.0067,0.0032,0.0021,0.0455,0.1022,1.8754,0.0198,0.0196,0.073,0.0211,0.0012,0.0268,0.0,0.1987,0.001,0.0046,13.8219,0.2137,4.4895,0.0057,0.0103,3.222,0.1771,4.435,0.3284,0.5124,3.5128,304.4139,4.9343,0.1528,2.7359,1.4304,1.4958,0.0909,2.964,0.0351,0.4754,42.198,5.9926,0.0243,0.0613,0.0006,0.1313,0.061,1.0721,0.194,0.1018,0.0068,0.0551,0.0355,0.4808,0.3423,0.1616,0.0073,1.6812,0.2415,0.0414,0.0,0.0267,0.0473,0.0067,3.2713,1.9979,1.4453,0.1328,0.0018,0.1327,0.0324,1.6724,0.0011,0.0617,21.7808,22.7765,0.1117,0.2131,0.3237,0.2125,0.1771,0.0058,1.0818,1.0103,0.0033,8.46,0.2368,0.0108,0.0001,0.0023,0.0086,0.0008,0.206,0.0022,0.005,0.0007,0.024,0.0113,0.0062,0.0133,0.0153,0.0018,0.0031,0.0035,0.0043,0.0,10.8417,0.0029,4.579,45.6726,0.3824,6.4419,0.8817,0.8312,4.2313,0.1484,69.4518,0.5093,1.972,86.3119,238.036,15.6531,9.3992,6.1444,5.6482,8.4919,2.2819,9.9877,1.8612,0.7974,226.4554,1.4721,0.7992,0.004,0.0125,0.0592,0.0455,3.2701,9.5174,5.0364,2.4243,1.0021,0.1746,8.5437,4.4474,17.2726,3.2958,4.1931,8.4288,9.6406,0.0,3042.460800000022
CAN_B09,0.5893,0.1366,1986.6408,154.6796,161.5267,0.5643,0.0592,0.0474,0.0903,0.1118,0.0682,0.0638,0.0753,0.172,0.1264,0.3271,0.2118,0.192,3.3585,1.5034,0.1753,0.152,0.4863,0.0874,2164.4774,2.1358,0.1014,0.0323,0.1276,0.0841,0.1019,0.1958,0.8868,0.5118,2.8055,5.9362,0.5464,1.1844,0.8701,1.4749,0.2479,0.8026,0.4477,0.1874,0.0,0.0037,0.0008,0.9369,0.0268,0.0032,0.0117,0.0035,0.0007,0.0018,0.0018,0.0042,0.0006,0.0015,0.0075,0.0099,0.0028,0.0039,0.0077,0.0514,0.0121,0.0072,0.0016,0.01,0.0019,0.0848,0.0073,0.003,0.0017,0.0011,0.0006,0.0006,0.0002,0.0001,0.0016,0.0027,0.0039,0.0012,0.0083,0.0008,0.0022,0.0023,0.0041,0.0,0.0001,0.0,0.0192,0.0021,0.1779,0.1522,0.0307,0.0178,0.0015,0.0017,0.0283,0.8215,0.0887,0.0169,0.0126,0.1387,0.0255,0.0183,0.0056,0.0065,0.0958,0.0288,0.0056,0.0108,0.1568,0.0174,0.4025,0.0089,0.0193,0.0003,0.0002,0.0255,0.0007,0.0029,0.0014,0.0029,0.0131,0.0079,0.0508,0.0147,0.0137,0.0506,0.0073,0.0119,0.0034,0.0024,0.0,0.0005,0.0003,0.0083,0.0047,0.0003,0.0024,0.0022,0.0004,0.0011,0.0021,0.0009,0.0021,0.0029,0.0016,0.0024,0.0099,0.0208,0.0136,0.041,0.0325,0.0039,0.0122,0.0012,0.0011,0.023,0.0106,0.0031,0.0,0.0009,0.0013,0.0002,0.0003,0.0005,0.0003,0.0,0.002,0.0013,0.0004,0.0033,0.0015,0.0007,0.0008,0.0008,0.0012,0.0,0.2522,0.0,4.9945,1.0826,0.3589,0.1393,0.0106,0.0373,0.1859,0.0019,0.1453,0.0075,0.1135,0.0225,0.1225,0.2322,0.1527,0.1213,1.9663,1.2314,0.2453,0.1807,0.1668,0.0769,3.5458,0.2496,0.0304,0.0004,0.0032,0.0182,0.0062,0.0595,0.1598,0.1129,0.1764,0.219,0.0245,0.3646,0.2234,0.6236,0.1578,0.0994,0.0161,0.1106,0.0,45.49550000000054
CAN_C10T12,1564.1808,31.9416,61.2855,23.9337,13.9741,6242.0906,77.2254,41.3084,106.2554,23.0044,203.8245,53.8892,166.79,25.315,38.5204,58.0486,57.3701,26.0103,52.2708,160.2085,32.6757,73.6606,23.205,6.1608,230.1988,535.9298,24.8857,3.1999,14.6052,15.3131,8.6411,4468.3656,45.911,51.963,44.3414,227.7472,92.7004,151.067,84.7714,229.1875,141.2476,634.031,39.7485,36.32,0.0,17.4052,1.3945,0.3867,0.3193,0.0321,23.1025,5.417,0.3721,1.0008,0.2655,6.1582,1.268,2.4197,0.9735,0.5505,0.4102,1.8583,0.8711,0.8439,0.3702,0.3996,0.4923,0.3821,0.2539,2.0657,2.2154,0.2054,0.0834,0.5885,0.1899,0.012,11.1013,0.1142,0.3078,0.1926,0.2174,0.1553,2.1555,0.3115,0.2828,0.7987,0.4553,0.0444,0.1944,0.0,1.393,0.0005,0.0266,0.0271,0.0021,5.3423,0.2775,0.16,0.5946,0.1462,1.3143,0.251,0.5275,0.1522,0.3771,0.4005,0.4149,0.3765,0.9262,0.7981,0.2348,0.4249,0.2159,0.1098,0.5318,1.5882,0.1057,0.0289,0.0677,0.0672,0.0202,3.8517,0.0948,0.0805,0.0631,0.5544,0.3749,0.6465,0.4215,0.6866,0.1666,2.0998,0.0601,0.1105,0.0,11.1451,0.0944,0.267,0.0626,0.0713,47.3558,2.4406,0.037,0.4765,0.1048,1.0337,0.0387,0.7031,0.2404,0.4008,0.4921,2.306,0.5751,0.4507,1.4088,0.1346,0.39,0.2649,0.0423,1.2707,1.4473,0.2009,0.0016,0.0867,0.0416,0.0089,1.9857,0.0513,0.043,0.0133,0.1281,0.1661,0.1915,0.2603,0.1134,0.1164,0.3684,0.0942,0.1244,0.0,213.192,0.0404,6.2202,1.7301,1.0099,927.9726,25.2807,15.0579,43.637,7.8917,88.7427,12.3762,37.715,7.8133,9.6346,17.7693,26.2286,8.824,22.7562,26.4019,12.45,17.1528,5.9564,1.0279,66.2929,47.4212,1.9803,1.7854,2.1371,0.9406,1.6782,283.7145,8.0806,4.1484,3.0035,5.12,5.468,13.8777,6.1044,235.0513,153.7138,112.4935,20.8664,17.5014,0.0,1046.9921999999995
CAN_C13T15,70.1659,74.2287,10.1651,14.2853,2.881,41.379,1478.7279,19.2205,80.0798,3.5999,38.8601,6.3215,153.5687,22.6448,10.5272,14.7653,15.979,17.3994,14.0707,166.5365,7.2528,321.1396,3.4041,1.9249,353.0651,153.1858,16.0219,6.1445,1.882,9.8778,5.2615,85.0662,9.9073,5.7865,5.746,27.0103,9.0698,32.7212,11.3807,108.9415,38.7259,296.4402,8.5971,32.7015,0.0,0.1237,0.0045,0.0423,0.0271,0.0041,0.0877,3.8341,0.0449,0.1561,0.0115,0.2685,0.0228,0.2557,0.0993,0.0521,0.0458,0.1888,0.0686,0.1149,0.0759,0.0456,0.3549,0.0361,0.0236,0.2143,0.1661,0.0239,0.0054,0.0087,0.0257,0.0035,0.0225,0.0144,0.0178,0.0218,0.0324,0.0237,0.1842,0.0373,0.2272,0.05,0.0296,0.0017,0.0296,0.0,0.0188,0.0038,0.0079,0.016,0.0005,0.0831,0.9603,0.0176,0.065,0.0143,0.1187,0.0825,0.1142,0.0311,0.0745,0.0846,0.0756,0.0588,0.173,0.2194,0.058,0.197,0.045,0.0138,0.1503,0.2046,0.0275,0.0036,0.0148,0.0091,0.0095,0.0305,0.0205,0.0204,0.0081,0.0834,0.0372,0.0608,0.0281,0.073,0.0158,0.0987,0.0116,0.0113,0.0,0.3395,0.0609,0.0139,0.0113,0.006,0.4603,20.0785,0.0083,1.2936,0.0083,0.1192,0.0081,0.6196,0.0878,0.0727,0.2556,1.2916,0.2576,0.1264,6.7217,0.0857,2.1596,0.0158,0.0125,0.398,2.5267,0.4437,0.0053,0.0366,0.0298,0.0103,0.2988,0.076,0.0098,0.0029,0.0389,0.0707,0.0758,0.1714,0.5334,0.0162,0.0626,0.0204,0.0396,0.0,3.525,0.1602,0.6355,0.1773,0.105,4.5869,201.554,6.3301,17.6702,0.7582,4.3232,0.587,14.0021,3.0312,1.3094,2.8606,3.3622,1.2079,6.5305,39.2019,5.1188,37.4153,0.6932,0.9517,35.1991,22.8832,0.3835,1.1984,0.1032,0.1364,1.0234,14.9794,2.2935,6.604,0.5593,1.6321,0.7533,2.7763,3.3308,27.2351,5.8797,28.4308,2.4461,11.4539,0.0,64.23250000000046
CAN_C16,59.2637,25.3938,10.4505,5.1616,2.3465,47.3565,23.1905,2377.1195,1779.0506,7.1966,24.3654,5.537,55.6603,29.5458,26.2587,77.2258,13.8319,22.7154,30.0268,81.0702,12.2793,1143.8724,12.872,1.2185,2994.0138,153.0816,12.5641,0.3669,3.432,3.5162,5.5251,10.4464,15.7793,7.1989,6.7651,40.364,12.1315,17.4612,12.8124,35.8191,5.636,12.3341,5.1237,70.795,0.0,0.4233,0.0914,0.4144,0.1334,0.0032,0.4487,0.2594,8.8892,2.1718,0.0289,0.3787,0.0875,0.2824,1.0381,0.184,0.9883,0.3671,0.5417,0.5975,0.1856,0.0919,3.1718,0.0683,0.1438,9.9982,0.8336,0.1132,0.0263,0.0104,0.0907,0.0189,0.1055,0.1813,0.0394,0.1281,0.1413,0.1088,0.8347,0.0915,0.2911,0.9586,0.1739,0.0176,0.0923,0.0,0.1533,0.0014,0.0205,0.0364,0.0022,0.997,0.1203,6.4445,2.3701,0.0493,0.6937,0.1347,0.268,0.1687,0.145,0.8527,0.3736,0.3191,0.9591,0.9373,0.48,4.8818,0.197,0.1765,10.9625,0.8833,0.0724,0.003,0.0079,0.0512,0.0278,0.1525,0.1367,0.1034,0.0307,0.2034,0.7065,0.2918,0.1667,0.5053,0.4182,0.2385,0.0907,1.4624,0.0,0.2157,0.0016,0.0428,0.3128,0.2509,0.6047,0.2301,2.4435,0.7418,0.0127,0.163,0.0112,0.1892,0.5166,0.1523,0.3561,2.5199,0.423,0.1908,1.5048,0.341,5.0012,0.0073,0.0076,5.4017,8.4193,0.1406,0.0034,0.0617,0.0322,0.0078,0.0917,0.0181,0.0142,0.0037,0.0667,0.0542,0.1069,0.0955,0.0777,0.0265,0.0598,0.0102,0.0328,0.0,27.5422,1.4043,2.4299,0.5466,1.5926,40.1024,9.9113,1721.0751,430.4417,0.4137,27.7747,2.4209,126.329,34.9525,16.2067,46.4389,34.0485,21.7335,72.5924,155.0819,11.2605,643.1258,0.5125,0.9281,3341.9586,164.8896,65.3916,0.069,0.1284,3.7557,7.7235,64.9936,124.8647,42.9802,52.3273,7.7879,100.828,19.6338,31.0895,72.7727,116.5922,63.8943,7.0089,25.7331,0.0,1206.8032999999948
CAN_C17_18,72.5345,27.0912,84.5499,27.8073,16.4753,876.1778,155.0736,101.4352,3703.6341,37.6796,228.7101,77.9855,162.0309,106.7664,47.3717,94.6928,175.9239,76.9433,70.4372,152.7369,47.7445,330.8781,34.1853,22.1101,409.9147,854.8031,52.6126,5.9288,17.8121,42.0681,39.2235,173.4522,846.0974,536.6905,263.6459,560.4839,125.3169,210.5976,136.2267,168.0639,290.3585,269.653,255.9605,128.5247,0.0,0.9577,0.1528,0.4473,0.4004,0.0152,14.2165,5.4328,2.2876,73.9254,0.1698,7.3114,2.9199,4.1038,20.7249,0.9855,2.5031,6.3176,8.6557,3.4754,0.7149,0.3977,6.4134,0.3468,0.4633,1.4197,7.5774,0.8751,0.0933,0.1349,0.296,0.6725,0.7118,5.6515,0.2732,5.2236,4.1546,1.5057,12.773,1.8271,4.7362,8.6369,0.5363,0.2065,1.1238,0.0,0.3371,0.0215,0.0838,0.6029,0.0074,26.627,3.1253,0.6948,95.9208,0.9392,12.6489,2.308,3.4051,2.095,1.5788,3.2638,5.1067,4.1371,6.087,3.7378,0.3392,4.1053,0.4881,0.376,3.541,21.7988,0.5146,0.0213,0.0557,0.47,0.5334,0.7372,5.0595,1.1825,0.5934,3.0981,0.4182,4.8337,1.9899,2.8681,1.7084,2.0645,0.4331,0.7026,0.0,0.8032,0.0116,0.0379,0.0668,0.0108,9.9749,3.2127,0.0537,27.391,0.0786,2.1076,0.0298,2.0622,3.2296,1.4801,1.731,7.3208,2.9089,1.176,6.4034,0.1699,2.9348,0.0897,0.0504,2.6402,4.7371,2.1383,0.1323,0.3493,0.6537,0.0982,2.2733,0.7386,0.1218,0.061,1.3506,1.5119,3.7001,3.1065,3.3804,1.0548,0.8679,0.3257,0.3842,0.0,23.7478,0.0245,8.8652,6.1026,1.8349,1182.1808,74.7852,35.6221,3348.9872,2.7907,311.8044,52.8022,244.9399,116.5136,84.6542,126.7456,202.9029,92.6489,156.891,164.5262,42.9903,203.7934,5.723,11.0831,270.4911,353.1754,19.7497,0.8527,1.9309,63.1032,75.9603,172.0508,498.2352,37.8686,34.445,114.8385,12.1441,161.0318,147.1839,472.4365,292.2443,238.6929,13.4249,54.4034,0.0,2201.1476999999923
CAN_C19,534.4203,146.172,264.0056,155.8294,151.4314,65.0193,15.3916,84.2183,188.217,722.2633,1697.5337,5.0853,21.111,70.879,118.0646,35.7351,25.2896,9.4034,34.3535,101.956,14.9444,130.2359,107.4819,101.0044,1262.954,1581.0008,2369.7511,220.5546,1170.5282,58.5716,131.6482,77.8237,28.851,65.941,9.0894,298.7579,142.467,117.4356,273.3274,340.5185,153.6021,137.3923,29.3542,79.357,0.0,0.1245,0.007,0.0903,0.0894,0.0047,0.0623,0.101,0.1078,0.0618,0.0276,0.3741,0.017,0.1214,0.3105,0.1187,0.0458,0.1249,0.0635,0.1245,0.0399,0.0338,0.0489,0.0489,0.0169,0.5864,0.0764,0.0478,0.0232,0.0135,0.0133,0.0021,0.0131,0.0054,0.0156,0.0195,0.2231,0.0516,0.0984,0.0116,0.0359,0.0275,0.0266,0.0007,0.0072,0.0,0.2792,0.0014,0.0084,0.0272,0.0038,0.2461,0.0405,0.0835,0.0675,0.6709,0.7548,0.1146,0.0714,0.1238,0.4125,0.1071,0.09,0.1,0.2504,0.2366,0.0405,0.1218,0.2293,0.0946,0.6737,0.6545,0.6597,0.1137,0.2542,0.3658,0.0609,0.0518,0.0578,0.036,0.0288,0.877,0.0787,0.2844,0.1436,0.3225,0.1738,0.2197,0.0421,0.0885,0.0,0.0439,0.0098,0.0282,0.0245,0.0514,0.1044,0.0381,0.0202,0.0241,0.0116,0.0542,0.0167,0.0427,0.08,0.0462,0.0453,0.1772,0.0527,0.0775,0.1254,0.0153,0.0725,0.0544,0.0147,0.364,0.1554,0.2628,0.0012,0.0295,0.0089,0.0019,0.0532,0.007,0.0944,0.0013,0.4518,0.07,0.0159,0.0487,0.0468,0.006,0.011,0.0076,0.0117,0.0,64.7063,1.3801,34.4576,12.6735,4.8976,19.7133,3.7039,19.2199,34.4417,39.5377,127.9474,4.0868,9.6189,28.755,23.3506,16.6929,11.5146,9.6346,19.2584,7.4763,3.0984,11.3564,271.8965,16.6747,242.9434,44.7035,121.237,15.8199,164.5721,9.3766,52.0786,27.0865,6.7195,5.2693,8.0595,72.149,13.7862,19.0883,63.1128,455.9424,158.603,14.724,8.6637,12.1819,0.0,130.29380000000108
