,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,Mundo
CAN_A01_02,7978.7107,88.043,24.1935,24.7624,2.5136,23342.1885,10.3945,5892.6272,661.0993,12.0395,854.5206,18.4192,291.7986,9.991,19.5514,8.4992,1.5222,3.031,5.8478,9.1909,2.0559,20.1131,52.7074,4.2573,1282.0581,147.5734,67.7474,1.3609,0.2968,20.2785,7.0507,1596.7124,17.0185,3.3005,6.6425,15.2977,14.9838,57.5273,17.0908,228.5043,57.7301,108.9253,22.0182,51.5155,0.0,456.914,21.3399,1.2383,0.5544,0.0347,626.1695,122.9107,46.8775,37.8509,0.4241,27.8961,66.1661,19.0449,1.1167,0.9477,0.507,0.4684,0.739,0.4507,0.2341,0.0935,11.9638,0.4978,1.7346,33.5014,1.1159,0.1815,0.0118,0.9733,0.1751,0.0524,47.7362,0.1449,0.7369,0.0767,0.0871,0.1983,11.0631,2.1181,0.2907,1.7465,1.3966,0.1749,1.4941,0.0,7.3116,0.006,0.028,0.0217,0.0007,96.7695,0.3613,0.0926,0.13,0.173,1.3585,0.3329,1.1855,0.1926,0.1875,0.1143,0.1143,0.0837,0.2524,0.305,0.0452,0.0982,0.1867,0.0748,0.3402,2.4772,0.2305,0.163,0.0594,0.4098,0.0697,1.516,0.0252,0.0182,0.0728,0.0741,2.257,0.1457,3.2276,2.3094,0.2421,1.4859,0.0853,0.2161,0.0,38.5855,0.1128,0.1803,0.0655,0.0152,242.9696,3.2029,0.1454,0.1539,0.1506,1.3793,0.7295,0.5975,0.4559,0.0942,0.0758,0.293,0.1198,0.0505,0.4842,0.0091,0.3755,0.111,0.0176,0.361,8.503,0.1384,0.0013,0.0032,0.0127,0.0021,3.0153,0.0123,0.0043,0.0013,0.0038,0.0478,0.0645,0.0756,0.1805,0.2071,0.1859,0.0101,0.0213,0.0,913.5914,1.9188,5.9199,0.8631,0.479,2159.5276,27.7486,100.6959,47.7063,24.3354,79.1748,1.8124,21.3924,1.5391,1.187,2.6635,0.6022,0.6838,1.3167,3.7141,0.4842,6.2483,4.5085,0.3645,43.8605,51.077,1.0779,1.4146,0.1575,0.635,0.1464,96.5254,0.6863,0.6289,1.3606,1.1953,4.7039,18.855,17.6299,90.4577,21.7843,15.6578,8.6738,5.0168,0.0,3501.366600000019
CAN_A03,51.2715,8.1355,0.0189,0.0089,0.0004,1861.7468,0.0031,1.5795,0.0877,0.0009,0.3649,8.9164,0.1151,0.0006,0.0006,0.001,0.0009,0.001,0.0016,0.0008,0.0014,0.0054,0.0204,0.0046,0.534,0.5672,0.0113,0.0005,0.0006,0.003,0.0038,188.5757,0.0232,0.0193,0.1053,0.0993,0.0127,0.0621,0.015,2.6535,0.0196,0.0322,0.0108,0.0231,0.0,0.2055,0.3573,0.0,0.0001,0.0,1.694,0.0628,0.0102,0.0238,0.0,0.0293,0.0317,0.0003,0.0004,0.0002,0.0,0.0002,0.0,0.0004,0.0001,0.0,0.0038,0.0003,0.0039,0.0108,0.0004,0.0001,0.0001,0.0003,0.0001,0.0,0.6847,0.0003,0.0016,0.0004,0.0002,0.0004,0.0395,0.0053,0.0002,0.0031,0.0014,0.0001,0.003,0.0,0.0033,0.0134,0.0,0.0,0.0,0.1223,0.0001,0.0,0.0002,0.0,0.0004,0.0002,0.0003,0.0,0.0,0.0001,0.0001,0.0003,0.0004,0.0004,0.0,0.0011,0.0001,0.0001,0.0003,0.0028,0.0001,0.0005,0.0,0.0002,0.0001,0.0195,0.0002,0.0002,0.0024,0.0005,0.0011,0.0007,0.0015,0.0016,0.0002,0.0088,0.0006,0.0001,0.0,0.0171,0.0001,0.0,0.0,0.0,0.11,0.0014,0.0001,0.0,0.0,0.0002,0.0002,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0038,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,1.6986,6.7594,0.0007,0.0002,0.0001,385.595,0.0117,0.0001,0.0002,0.0001,0.6547,0.0002,0.0002,0.0001,0.0002,0.0004,0.0001,0.0,0.0003,0.0001,0.0001,0.0011,0.0004,0.0002,0.0143,34.432,0.0004,0.3583,0.0,0.0002,0.0001,239.1082,0.0018,0.0017,0.0054,0.0045,0.0005,8.3492,0.012,28.5587,6.5566,0.0031,7.973,7.5994,0.0,4.488700000000001
CAN_B05_06,145.6571,6.076,1047.3361,152.1917,64.1271,80.2946,3.1632,28.9004,53.777,8477.2817,154.0562,8.2098,17.9839,151.586,653.0545,23.3341,4.3688,3.6705,12.537,11.7613,14.6552,26.0523,820.4448,19.5485,573.9096,410.0519,219.6552,12.6098,32.0044,25.0523,18.922,22.7683,30.5295,14.9396,21.4134,143.4874,241.8038,77.3728,97.0191,185.2578,135.7047,136.7694,13.5752,62.5068,0.0,1.388,0.1161,87.1473,5.12,0.1459,2.8194,2.4528,0.3599,5.3436,122.7732,43.8905,0.5821,1.4856,49.7278,43.6956,1.3667,0.1151,0.3749,1.4102,0.3319,0.1812,0.2456,166.2142,0.3942,1.9479,0.7839,0.9129,0.4633,0.1947,0.6584,0.0613,0.2138,0.0168,0.0281,2.0107,0.2466,0.0589,0.8169,0.2298,0.6822,0.8407,0.3459,0.0131,0.1632,0.0,0.6637,0.0018,5.7779,0.855,0.0138,5.9532,0.3615,0.1341,1.7125,23.4497,5.4366,0.4196,0.2481,3.9412,16.1574,0.4352,0.111,0.1973,1.3963,0.3815,0.2638,0.3189,148.7883,0.5683,0.9632,3.2497,0.3831,0.3795,0.1724,0.3836,0.13,0.4102,0.1379,0.0649,0.1684,0.1654,0.0572,0.6962,0.5272,2.0672,0.1889,2.4816,0.1028,0.1056,0.0,0.211,0.0849,0.1414,0.2126,0.1651,0.2274,0.0159,0.0195,0.0332,1.655,0.4287,0.0169,0.0256,0.3252,0.1455,0.0525,0.0187,0.0334,0.0201,0.0681,0.005,0.034,0.7612,0.0265,0.5035,0.44,2.5747,0.0283,0.3972,0.0567,0.0796,0.0279,0.0062,0.0052,0.0016,0.029,0.0418,0.0726,0.1042,0.2338,0.0158,0.0738,0.0025,0.0578,0.0,7.2469,0.0418,5695.9513,2.3816,1.3182,4.6055,0.215,0.531,2.6319,32139.4478,594.5127,0.405,0.9368,8.2428,11.4408,0.9452,0.8227,1.1172,0.934,0.7995,0.2811,0.7392,5657.3619,1.3346,26.5036,12.1802,23.8908,1.6382,6.5593,3.4108,6.0509,9.0137,1.5328,0.8723,2.1274,10.5306,5.361,9.1836,7.3717,4563.7786,20.7626,8.0789,1.2778,2.2913,0.0,2916.5864000000165
CAN_B07_08,492.0745,7.7723,1104.9653,409.6108,119.1327,179.4833,24.9525,60.1861,164.498,48.0347,632.5865,94.958,350.3309,1191.7345,6473.4944,51.3502,25.4487,17.2201,46.8231,58.5323,64.2239,941.1959,332.1157,25.2279,2287.4151,1377.4437,107.1105,3.1707,5.9269,73.5158,16.0302,67.2365,100.0058,50.4964,129.2073,608.3919,366.3104,305.9523,307.3123,621.1739,128.3994,456.8072,41.2692,174.8822,0.0,18.0327,0.1842,5.3989,175.809,0.2889,0.965,7.5059,1.788,4.2499,4.2282,88.2959,2.4296,26.5881,29.6107,1801.0539,48.482,2.8353,24.9517,27.8446,6.6234,0.5984,2.8622,2.16,2.9605,52.0361,4.9337,0.3143,0.0561,0.1473,0.141,0.0748,0.3247,0.2308,0.2215,0.4819,0.6365,0.2764,8.2791,0.5744,0.4885,1.1568,0.1111,0.0181,0.8281,0.0,1.1611,0.006,0.1708,41.4394,0.5842,12.8784,0.6467,0.4585,9.0753,7.2713,34.8023,4.1841,8.5625,235.6308,78.2663,8.0857,5.2849,8.8286,37.2091,9.6021,1.3934,11.8595,0.3119,2.0067,304.0922,22.6855,0.1392,0.7773,0.0166,0.6914,0.3318,1.968,0.6929,0.2981,0.471,0.6385,0.364,3.3823,3.1808,1.204,0.173,12.5479,0.5363,0.4507,0.0,3.0621,0.1566,1.3963,1.1209,0.117,3.896,0.6081,0.0698,0.9358,1.1697,9.0201,1.9005,4.6707,15.2457,2.9281,0.46,0.6216,0.7731,0.3563,2.5775,0.0361,0.7446,2.1454,0.1358,9.1819,0.5585,0.9644,0.0088,0.0084,0.0931,0.0146,0.3731,0.0897,0.0195,0.009,0.0206,0.366,0.3562,0.5111,0.4237,0.1457,0.8504,0.0717,0.1344,0.0,79.6904,0.0004,17.4981,62.969,2.5527,18.5816,12.6865,3.1937,31.1754,11.5825,209.7047,8.3701,84.955,138.4297,129.6479,20.219,8.1172,4.265,8.9809,16.2268,3.5101,13.1727,7.4823,6.4364,363.433,33.6127,5.831,0.2311,0.2773,4.2396,0.842,12.5463,8.6063,5.817,14.7579,20.1484,26.7216,51.2133,35.3217,78.9153,16.9593,37.3149,6.2499,26.1988,0.0,4392.370400000015
CAN_B09,7.1155,0.0644,5270.146,1229.7772,456.5607,7.0112,0.2858,1.5194,1.8963,0.7215,2.4731,0.985,1.3754,1.9154,2.0729,1.2293,0.8575,0.3666,1.4588,1.213,2.7108,1.7858,6.237,0.9974,5643.5966,58.1157,4.1249,0.0441,0.2614,1.2003,0.6498,2.7313,4.1228,2.9794,9.1821,29.4958,17.8671,13.0796,12.2072,20.1415,4.6468,13.0267,1.9622,6.022,0.0,0.0306,0.0032,3.4042,0.1063,0.0112,0.0658,0.023,0.0069,0.0316,0.0101,0.0435,0.0286,0.0217,0.0267,0.0214,0.0222,0.0678,0.0283,0.043,0.0271,0.0057,0.015,0.0255,0.0053,0.1756,0.1673,0.0132,0.0027,0.008,0.0103,0.005,0.0107,0.0046,0.0217,0.0424,0.0533,0.023,0.0876,0.0071,0.0221,0.0103,0.0168,0.0009,0.0033,0.0,0.0158,0.001,1.1951,0.2458,0.0353,0.0297,0.0024,0.0023,0.0315,1.0893,0.2089,0.0197,0.016,0.2131,0.2298,0.0784,0.0109,0.0131,0.0385,0.0265,0.0058,0.0119,0.2076,0.0246,0.7538,0.0808,0.0723,0.0088,0.0087,0.09,0.0076,0.0054,0.0186,0.0117,0.0905,0.062,0.0835,0.1249,0.0606,0.0639,0.0142,0.0377,0.0067,0.0088,0.0,0.0032,0.0001,0.005,0.0011,0.0014,0.0111,0.0027,0.0002,0.0021,0.0019,0.0043,0.002,0.0031,0.0018,0.0045,0.0049,0.02,0.0058,0.0081,0.0299,0.0012,0.0033,0.0013,0.0003,0.0106,0.006,0.0046,0.0001,0.0005,0.0012,0.0001,0.001,0.0003,0.0007,0.0001,0.0011,0.0008,0.0008,0.0011,0.002,0.0005,0.0025,0.0002,0.0004,0.0,0.0798,0.0002,15.0664,2.2088,1.5033,0.3239,0.0279,0.0675,0.112,0.1564,0.2028,0.1184,0.1129,0.0641,0.1348,0.2349,0.2151,0.0448,0.231,0.2571,0.1047,0.1098,0.0778,0.056,3.5742,1.3039,0.1426,0.0111,0.0095,0.0689,0.0371,0.4631,0.2958,0.1908,0.4652,0.915,0.2933,1.3123,0.7788,0.7373,0.1395,0.8434,0.0546,0.1123,0.0,114.88850000000103
CAN_C10T12,6234.293,96.3084,108.3682,41.2886,19.069,11514.4841,26.8088,45.933,88.9884,14.1694,118.3428,74.5403,36.6659,34.2196,54.2937,58.5938,14.3616,8.2523,46.1011,26.3594,43.8076,67.6806,56.8199,19.9925,306.8621,883.2066,39.7595,3.7693,12.4897,38.8847,9.995,8028.5539,86.6268,61.7056,83.6576,207.9372,197.4322,231.0207,171.1413,349.5554,357.8946,883.9483,272.7237,142.6787,0.0,210.1906,32.8755,0.6261,0.3364,0.0338,281.4111,16.5178,0.5141,1.9945,0.8322,27.9119,4.5975,1.0995,0.9054,0.9105,0.5478,2.2633,0.9124,1.1763,0.503,0.1948,0.6314,2.8667,2.886,2.6309,9.4047,0.4044,0.0851,0.9475,1.3666,0.0569,114.1957,0.6438,1.2205,0.6041,0.3265,0.5913,9.7867,0.956,1.3811,11.2789,5.1498,0.3761,1.4426,0.0,1.6284,0.0059,0.0257,0.0275,0.0006,9.8258,0.0872,0.0439,0.1002,0.055,1.0658,0.4743,0.256,0.116,0.2413,0.2143,0.2558,0.2237,0.6426,0.4962,0.1778,0.2402,0.2894,0.0804,0.3735,0.7887,0.1065,0.2859,0.0878,0.0722,0.0294,4.1607,0.0871,0.0672,0.1439,0.2692,0.1188,0.3913,0.2253,2.3,0.4016,4.0816,0.0769,0.1761,0.0,19.5175,0.0112,0.1122,0.0796,0.054,57.7696,0.9805,0.0124,0.5643,0.1276,0.8952,0.7746,0.2472,0.1219,0.2714,0.2974,1.1953,0.3533,0.4893,1.7939,0.0684,0.2208,0.089,0.0215,0.6385,1.0268,0.3006,0.0078,0.0396,0.0657,0.0063,7.6063,0.0139,0.0415,0.0051,0.021,0.0391,0.3212,0.1451,1.9155,0.1458,0.6792,0.0222,0.0351,0.0,443.5346,2.8123,3.8346,0.7775,0.6537,1722.3681,9.278,3.3932,24.5914,9.8635,31.1457,12.8862,7.4366,4.8223,6.1137,7.7993,2.3105,1.9982,7.3144,9.6344,3.2981,3.8311,2.073,0.9769,26.7821,103.253,2.6217,4.1266,2.9666,1.2811,0.6063,557.1959,2.8497,2.7746,4.3694,5.0725,5.0968,64.6047,6.1876,356.6867,223.1347,207.4558,29.4404,24.8034,0.0,1097.928700000001
CAN_C13T15,50.4445,11.7672,6.7042,14.0397,1.5581,32.1927,172.8532,9.2627,36.7584,2.6624,24.0052,3.3343,61.7094,12.7626,10.7186,16.7778,2.5978,2.0619,11.6009,51.5581,7.7,115.7196,2.5137,2.5788,360.3401,34.3408,7.4747,1.1838,2.4956,5.2802,2.4899,39.6041,9.4122,3.8084,5.8384,7.6419,8.1908,24.9789,9.7874,74.7245,53.0754,128.1554,15.2603,40.8198,0.0,0.5597,0.0284,0.3386,0.1335,0.0337,0.5217,4.4241,0.107,0.6459,0.1141,1.2113,0.2134,0.5376,0.5353,0.2766,0.2352,0.6406,0.3873,0.4546,0.2557,0.1304,0.4612,0.3032,0.2478,0.9105,0.5096,0.1689,0.0191,0.054,0.0648,0.028,0.1793,0.16,0.0534,0.0371,0.18,0.043,0.7766,0.126,0.8818,0.1097,0.3613,0.0373,0.0419,0.0,0.0275,0.0016,0.0052,0.0062,0.0002,0.0585,0.1062,0.0147,0.0285,0.0135,0.2013,0.0558,0.1181,0.0326,0.0633,0.0602,0.0563,0.0485,0.1489,0.1607,0.0411,0.0804,0.0621,0.0117,0.0978,0.0972,0.0236,0.0134,0.0159,0.0083,0.0046,0.0112,0.006,0.0118,0.0201,0.0126,0.0081,0.0264,0.0308,0.0469,0.008,0.0804,0.0088,0.0119,0.0,0.4301,0.0525,0.0373,0.0193,0.0128,0.3035,8.9429,0.0088,1.8878,0.0376,0.293,0.0428,0.5547,0.0613,0.0838,0.1873,0.4226,0.1278,0.16,10.2907,0.0722,1.738,0.0263,0.0142,0.2268,0.5648,0.5002,0.0113,0.0074,0.017,0.0185,0.5984,0.0342,0.0082,0.0011,0.006,0.1519,0.0162,0.1234,0.2118,0.118,0.3328,0.0089,0.1545,0.0,1.7171,0.0051,0.7929,0.1707,0.1445,3.2401,14.102,1.3807,7.4474,1.4168,3.8305,0.6703,5.1998,1.6371,1.3287,2.1475,0.3741,0.474,3.2564,8.8976,1.9303,7.5749,0.3895,1.2234,12.3911,40.2374,0.4389,0.1069,0.0557,0.3059,0.1804,3.2969,0.7404,0.5691,0.5099,0.632,1.4833,2.6191,2.9026,11.0936,2.1768,9.8855,0.2375,4.105,0.0,46.52310000000051
CAN_C16,152.0881,8.0686,46.9854,30.9656,9.4589,137.2079,12.3844,3660.8763,1970.7857,28.8805,36.8455,11.2512,80.3499,60.9799,49.8728,92.1835,8.4244,6.0606,46.127,29.3713,34.3684,1058.7813,39.6098,7.6537,10921.1608,239.5767,74.7589,3.0344,15.9099,10.9412,13.3113,11.9253,9.9697,9.3695,15.0047,47.1833,40.0297,36.249,44.0178,103.3008,23.7804,57.6528,8.1253,121.4374,0.0,0.9316,0.0707,10.15,1.0215,0.0316,1.2338,1.2429,72.5055,6.9321,0.3479,3.048,0.294,1.9892,3.6698,0.9829,7.8082,1.9948,1.7989,2.79,1.3112,0.3192,55.6608,0.9078,0.6789,86.1623,0.933,0.5861,0.1499,0.1703,0.2475,0.0364,0.1049,0.0295,0.1096,0.0902,0.1379,0.0597,0.5482,0.0654,0.1994,0.2422,0.1714,0.1186,0.0226,0.0,0.0614,0.0005,0.0173,0.0236,0.0005,0.1217,0.0239,0.6935,0.0702,0.0847,0.207,0.0477,0.0612,0.077,0.1397,0.1841,0.1003,0.1051,0.3304,0.3508,0.1404,0.4296,0.1846,0.0582,1.055,0.3287,0.1523,0.0785,0.0988,0.1171,0.0323,0.0259,0.0345,0.042,0.0629,0.109,0.0641,0.1767,0.1485,0.2085,0.051,0.2022,0.0228,0.123,0.0,0.3142,0.0502,0.0945,0.3326,0.4483,1.6502,0.2497,1.767,0.2082,0.5327,0.5046,0.5444,0.2456,0.3435,0.3576,0.7832,0.8792,0.4087,0.3183,2.3932,0.0512,3.5276,0.3604,0.2715,4.8794,1.2943,0.8446,0.0102,0.1414,0.0394,0.0348,0.0567,0.0113,0.0085,0.0016,0.0198,0.0459,0.0445,0.1693,0.1184,0.0218,0.1086,0.0068,0.0294,0.0,27.9066,0.796,1.619,15.5397,8.9071,20.3651,2.4414,1051.7402,249.4689,1.8311,15.4106,0.6566,62.3004,15.1193,30.0396,43.834,3.6916,24.4302,24.0026,111.3497,8.8038,304.6373,3.6372,1.4926,2088.7161,282.7351,112.9507,0.5478,2.0649,12.456,4.8016,52.5847,12.3002,41.281,57.2013,9.2936,257.478,30.6672,41.2114,53.2914,126.7974,52.8662,4.0777,23.371,0.0,523.6764999999983
CAN_C17_18,130.5561,23.4018,83.3189,27.381,12.5629,1269.4537,25.5412,102.4795,3190.8416,13.3151,176.7116,57.0483,172.1268,78.2288,58.4609,107.9762,49.8142,44.2727,66.585,35.8349,31.7356,191.2645,33.2244,40.4293,544.3576,1674.8171,38.7005,5.2921,6.7171,89.2296,63.7771,157.0686,672.6658,110.0745,184.0712,472.1313,222.1925,688.6369,312.071,433.6986,594.7886,612.6221,180.9084,448.2669,0.0,2.3734,0.305,0.5707,3.9321,0.1418,82.6775,22.7858,9.4661,783.7932,1.1808,33.9632,19.728,18.9922,84.4518,4.4202,14.2979,36.5741,45.4199,25.2813,8.1387,2.449,80.0534,0.2927,0.792,11.9002,11.7893,0.924,0.0285,0.7276,1.5427,2.2979,8.281,27.1269,0.1331,13.3076,9.5553,3.3521,194.4584,9.4353,55.638,47.4092,0.6096,0.0883,1.0048,0.0,0.08,0.0036,0.0132,0.0672,0.0005,2.5108,0.2271,0.0724,6.6944,0.0303,1.2425,1.0126,0.4707,0.2422,0.0878,0.3377,0.469,0.4647,0.7175,0.4053,0.0916,0.4826,0.0976,0.0627,0.477,2.7871,0.0517,0.0152,0.0137,0.065,0.0559,0.0553,0.3254,0.0537,0.134,0.2211,0.059,0.793,0.4968,0.2802,0.0901,0.4574,0.0584,0.0902,0.0,0.9791,0.0053,0.0995,0.0918,0.8054,9.4082,1.7945,0.175,29.4792,0.1235,1.3181,1.3624,1.4746,1.4432,0.3181,1.5134,4.7331,1.5531,1.0072,4.4931,0.1253,3.248,0.0613,0.1545,0.4687,10.9081,0.5056,0.0165,0.0086,0.2082,0.133,1.6938,0.0445,0.0568,0.0945,0.9172,0.7821,0.6359,4.2136,1.8624,1.7359,1.071,0.1198,0.1112,0.0,16.9038,0.0027,5.3892,4.5035,1.8711,777.5427,14.0578,17.3505,1093.2875,5.105,154.9936,8.7082,128.2795,47.0936,47.7449,73.0036,11.8917,29.8082,58.2471,90.6176,13.7306,79.041,1.943,9.2641,146.2062,354.7534,41.0376,0.9282,0.6309,79.6885,27.9974,129.8692,99.5937,29.0838,36.2213,74.6339,41.1711,203.402,137.8188,208.7029,211.5262,148.0935,8.5234,55.8444,0.0,1119.1656000000003
CAN_C19,1301.5656,88.1913,970.0924,480.5251,273.2282,147.2747,9.7251,118.0319,65.3322,1225.2939,645.0105,23.6175,96.709,581.1454,260.8618,75.7494,8.3727,12.8992,35.3017,49.4346,16.2384,183.3259,183.493,177.9619,1643.4199,1311.8901,3165.7562,148.1177,499.0098,137.1346,256.2364,112.9864,47.6813,125.2723,48.0515,271.3636,436.8278,232.1875,700.9302,776.3644,584.3557,583.7099,46.5566,306.8468,0.0,5.0296,0.6438,1.4906,4.9487,0.3664,0.5841,1.69,0.52,1.1444,7.0576,27.2464,0.5165,4.3262,6.495,18.4297,1.3044,1.1484,1.1975,1.2771,0.532,0.2512,0.8197,3.4842,0.8368,12.4793,1.9963,12.4619,6.1472,2.6579,5.3279,0.4292,0.2898,0.0998,0.1287,0.1007,0.5098,0.1278,5.3336,0.7397,1.0436,0.911,0.2159,0.0172,0.1932,0.0,2.1363,0.0171,0.057,0.2115,0.0093,0.4276,0.1668,0.172,0.2442,3.792,4.6974,0.6661,0.9386,1.0279,1.1987,0.2803,0.2031,0.2893,0.4781,0.8146,0.1328,0.2378,1.4618,0.7848,4.602,5.2344,3.7317,2.2254,2.7809,4.1091,1.058,0.2408,0.1632,0.1049,0.1325,0.1104,0.1036,1.1363,0.9912,1.8863,0.3321,0.7265,0.2368,0.516,0.0,3.8399,1.3416,2.57,3.3981,2.7377,4.1321,0.3969,0.3338,0.7221,27.2493,7.8496,0.5739,1.2461,1.4937,2.4269,0.9741,0.6329,0.763,0.418,2.0386,0.0966,0.7217,12.2252,0.4577,6.8622,7.3507,42.2718,0.4638,6.4916,0.9477,1.3029,0.5501,0.1186,0.0928,0.0279,0.467,0.7541,1.2519,1.8019,3.8938,0.2853,1.3806,0.0541,0.9725,0.0,98.2367,0.6866,54.518,20.5561,17.491,40.2032,3.3026,7.6625,21.5001,47.6037,97.6855,2.1305,24.6115,77.8582,21.3124,12.0877,2.4943,19.0255,10.7384,13.0853,1.8204,10.7313,177.8055,14.2639,401.2432,80.4726,369.7515,26.213,106.9604,50.1931,97.2082,28.2162,6.9796,7.2568,14.7559,121.7852,71.0074,39.9139,83.3105,579.4083,318.8043,64.8798,8.0576,23.4241,0.0,452.95539999999846
