,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,Mundo
CAN_A01_02,10148.6143,107.7833,58.0817,49.7665,13.6017,15076.2394,17.6396,4895.0712,1093.8159,66.5515,343.9353,9.0969,241.4526,18.3115,43.7395,18.5569,8.5045,8.5292,50.4941,48.7111,14.4288,71.3838,34.5165,4.0992,1089.3605,286.0614,152.0195,2.0774,4.6195,41.0903,23.5481,824.4877,27.1865,21.1123,27.4973,130.8782,62.7658,86.5735,46.7436,684.2379,70.0057,95.321,26.3308,49.5959,0.0,114.2041,4.2736,0.4444,0.2477,0.0275,305.9002,68.8502,8.1345,13.2897,0.1524,6.9664,23.0391,1.4558,1.4077,0.9115,0.3747,0.7053,0.5158,0.5854,0.2106,0.0801,9.4623,0.2544,0.4966,6.8454,1.3194,2.6048,0.701,0.7783,6.1222,0.1184,16.1228,0.0853,0.478,0.361,0.4206,0.3627,4.4415,0.5993,0.3906,0.8219,1.4145,0.8907,0.7611,0.0,9.7587,0.0038,0.1481,0.0877,0.0058,139.6495,0.3468,0.3071,0.432,5.8163,0.8027,0.1535,2.3094,0.5459,1.3141,0.328,0.3034,0.3027,0.7204,1.0346,0.1511,0.3958,1.4342,0.1636,0.522,5.2939,0.6163,0.1605,0.0898,2.4966,0.09,3.7258,0.2896,0.1252,0.1595,0.571,3.5351,0.7432,2.078,1.2867,0.6495,3.2304,0.2994,0.5773,0.0,77.2251,0.149,0.0323,0.017,0.0494,484.1804,12.5418,0.5617,0.0952,0.0143,1.9247,0.5393,0.3405,0.0892,0.2748,0.1159,0.7684,0.1202,0.1059,0.4075,0.0452,1.5816,0.0563,0.0062,1.4226,16.8583,0.0359,0.0031,0.0459,0.0125,0.0013,0.0319,0.0092,0.0204,0.0011,0.0359,0.0107,0.0207,0.0266,0.0591,0.4387,0.0609,0.0081,0.023,0.0,843.5981,1.6524,10.0369,1.0546,1.2623,2564.9744,22.4778,137.1225,42.5187,76.9686,113.8289,4.0527,25.3738,1.6423,5.0718,4.8125,1.9729,1.4673,4.7416,6.5828,1.9049,22.9903,15.913,0.352,98.3026,53.1533,4.3029,0.464,0.3832,0.9681,0.442,40.3078,1.5145,1.3101,2.406,3.6285,6.2115,9.8288,13.5806,61.4246,8.3057,4.3294,5.8322,2.2306,0.0,4291.502500000015
CAN_A03,127.1262,29.58,0.4508,0.0984,0.0731,1560.1309,0.0266,0.0828,0.171,0.1123,0.3823,12.1081,0.2301,0.0909,0.2507,0.0601,0.0927,0.0443,0.0772,0.2156,0.2072,0.131,0.1315,0.0247,0.8606,5.0549,0.1335,0.0051,0.0124,0.077,0.0599,118.4838,0.2722,0.3581,0.5796,2.7265,1.0369,0.7389,0.6581,5.2189,0.2388,0.5259,0.1642,0.243,0.0,0.0863,0.0331,0.0005,0.0004,0.0,0.305,0.053,0.0029,0.01,0.0006,0.0075,0.0184,0.0005,0.0017,0.0012,0.0006,0.0027,0.0028,0.0021,0.0015,0.0002,0.0071,0.0019,0.0009,0.0047,0.014,0.0041,0.0027,0.001,0.0061,0.0003,0.0503,0.0003,0.003,0.0023,0.0054,0.0052,0.0093,0.0015,0.0019,0.0022,0.0018,0.0011,0.001,0.0,0.0074,0.002,0.0001,0.0001,0.0,0.1178,0.0005,0.0003,0.001,0.0006,0.0035,0.0014,0.0024,0.0008,0.0009,0.0012,0.0016,0.0018,0.0038,0.0057,0.0006,0.0016,0.0014,0.0015,0.0023,0.0158,0.002,0.0002,0.0001,0.0021,0.0008,0.0079,0.0032,0.0022,0.0029,0.0079,0.007,0.0075,0.005,0.0079,0.0019,0.0112,0.0015,0.0023,0.0,0.057,0.0001,0.0,0.0,0.0,0.3578,0.0092,0.0003,0.0,0.0,0.0013,0.0004,0.0002,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0006,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0004,0.0001,0.0,0.0,0.0,2.0176,7.8197,0.0007,0.0006,0.0006,309.4912,0.0161,0.0003,0.0007,0.0001,1.8717,0.003,0.0004,0.0003,0.0005,0.0011,0.0011,0.0001,0.0011,0.0003,0.0009,0.0066,0.0019,0.0004,0.0267,25.1228,0.001,0.115,0.0002,0.0003,0.0003,169.6793,0.0034,0.0021,0.0062,0.0168,0.0027,2.4525,0.0165,19.81,4.242,0.0057,7.833,4.5075,0.0,5.051599999999983
CAN_B05_06,255.5406,3.6115,5049.3093,218.2255,692.8649,280.0919,33.9172,85.5397,275.9612,34162.6481,3072.9664,60.2761,189.0407,262.2994,823.5604,136.1448,45.28,44.1788,73.437,219.3684,61.2228,95.1567,1676.6207,19.9952,2094.3768,1566.8848,226.5575,32.2251,31.3857,139.7426,202.438,106.9099,74.4067,58.7883,55.6478,639.1229,974.5496,815.1903,125.6465,595.7352,444.909,491.8022,99.7437,237.0277,0.0,4.6704,0.0692,10.1285,1.4559,0.1663,1.7379,4.1203,1.2415,2.3039,63.5362,31.774,0.7648,7.6391,16.7469,13.5594,1.4964,2.8437,2.5234,2.7069,1.1304,0.3934,1.1226,39.187,0.6483,5.5554,1.8427,1.1967,0.1465,0.0757,0.3677,0.041,0.4186,0.2079,0.1888,0.5751,0.5239,1.3199,4.8083,0.4004,0.5212,0.484,1.3627,0.0888,0.461,0.0,4.5698,0.0554,60.3662,8.8683,0.8153,129.6933,18.8832,10.8266,96.8248,3849.4499,162.2767,15.5535,29.6409,76.9823,530.7822,51.4057,8.8649,19.3946,26.1762,47.7043,3.3849,11.165,628.4136,11.9764,8.3102,151.4114,2.8002,10.4904,0.1425,6.3293,2.4665,26.4629,3.896,2.6294,4.5891,21.484,1.7104,24.7726,14.0548,38.5853,34.0404,47.8302,6.2787,9.8486,0.0,0.8033,0.0017,3.1997,0.1272,0.1099,0.6626,0.4101,0.0371,0.2867,0.385,4.8979,0.846,1.5863,0.4609,46.7313,0.1502,0.3587,0.3486,0.0642,0.4289,0.0106,0.2713,12.4472,0.1765,0.8271,0.2823,0.0921,0.002,0.0028,0.0918,0.0005,0.1408,0.0522,0.0179,0.0069,0.0686,0.1806,0.073,0.1168,0.0882,0.0428,0.1541,0.0618,0.1131,0.0,28.8596,0.0105,6137.6892,9.2092,9.7935,24.6298,10.7692,5.1845,33.2767,55382.0671,1902.202,26.2164,50.754,18.5661,69.5481,11.54,8.3476,3.2006,6.5579,6.5842,3.8348,11.1802,10978.5972,3.6976,58.168,28.7503,32.2721,0.03,0.242,2.343,0.4658,27.6501,3.6574,12.8812,10.6398,6.2308,43.1969,67.785,14.126,2989.2558,12.3822,32.23,7.2839,14.5073,0.0,3429.865200000021
CAN_B07_08,93.5004,8.9016,169.3601,382.002,24.0293,36.0551,1.2597,2.8367,201.6261,178.907,79.3229,1.1261,5.6933,1033.9543,9885.2538,7.9783,5.1142,3.7945,14.8656,9.5977,5.4082,1199.792,232.9359,1.7231,1241.0708,63.2474,5.099,3.1021,1.5617,65.5931,1.7648,9.1624,14.9267,7.8813,12.0038,48.9435,17.1455,34.4915,14.0228,187.7118,32.1193,169.9615,6.0132,6.9116,0.0,1.3303,0.5753,2.7683,147.3106,0.3503,5.2934,0.28,0.5542,0.107,1.3282,402.7948,4.5986,2.207,782.5528,931.9408,41.2037,0.8423,7.4702,21.7969,2.4909,1.2313,4.3632,3.3577,2.3982,386.3194,1.3755,3.2511,0.0148,0.021,0.2226,0.0061,0.0781,0.4959,0.0402,0.0344,1.1747,2.336,4.5949,0.1781,2.0581,2.087,3.584,0.2574,0.1595,0.0,1.0431,0.011,0.0495,35.652,1.4916,23.1802,0.0112,0.0297,26.7346,23.7015,45.332,4.2952,9.7262,274.0212,145.9724,16.8933,7.9945,20.8043,17.6235,23.2476,0.8741,13.3401,0.7405,2.3823,127.2684,45.578,0.1815,0.4459,0.0064,1.7052,0.693,7.3642,1.0818,0.7054,0.0588,0.1216,0.3623,6.093,3.5912,1.8057,0.0338,13.4201,1.7671,0.1065,0.0,1.8706,0.4146,0.3743,5.7454,1.293,1.0222,0.0373,0.0007,0.8105,0.3325,13.3307,0.0363,0.116,45.4712,30.3028,0.0667,0.1623,0.1089,0.1323,0.4811,0.0125,0.5793,5.1757,0.3155,42.0195,0.0878,0.2143,0.0028,0.0028,0.0458,0.0002,0.37,0.0023,0.0029,0.0006,0.0018,0.0042,0.0047,0.0073,0.0434,0.0008,0.0016,0.0015,0.0013,0.0,72.9764,0.0003,26.5138,107.2362,3.7434,9.5458,0.023,0.0585,18.7061,0.2328,196.1922,0.0545,0.1224,406.6657,523.3548,19.7396,1.7174,4.4368,5.6395,1.3142,3.881,14.8713,6.5736,3.3594,738.382,0.9221,5.2099,0.012,0.0639,0.1021,0.0204,2.1019,3.8213,4.6466,1.9379,0.5135,0.0965,25.7571,9.1744,68.0976,8.92,1.8884,23.6335,18.0247,0.0,7361.311300000062
CAN_B09,9.0265,0.8687,3778.7793,842.6719,445.7074,15.2755,2.3556,6.7659,11.629,7.4512,9.5408,10.9959,6.8798,4.9099,6.7306,14.1591,19.4677,13.6332,14.1103,79.8939,12.4969,13.4261,11.7326,3.3078,7785.3441,98.4274,5.3137,0.1773,9.1801,6.4152,1.476,3.9139,11.5839,15.4127,6.897,16.3821,4.3943,403.3432,5.1152,146.4666,7.9639,1.2779,0.2472,1.1332,0.0,0.2561,0.0145,2.6017,0.2914,0.0358,0.2162,0.0692,0.0102,0.0495,0.0286,0.2228,0.0383,0.0667,0.0989,0.1813,0.0814,0.2275,0.1679,0.2372,0.1488,0.035,0.0218,0.3204,0.0258,1.7779,0.2136,0.0252,0.0073,0.0022,0.0012,0.0008,0.0023,0.0009,0.0045,0.0622,0.0113,0.2164,1.6922,0.0078,0.0153,0.0343,0.0183,0.0016,0.0063,0.0,0.0779,0.0005,1.5455,0.4498,0.1514,0.1308,0.003,0.0369,0.1544,2.6719,0.6405,0.0811,0.1659,0.4494,0.8238,0.4424,0.1629,0.2552,0.362,0.2692,0.0742,0.1077,1.7881,0.4949,2.3204,0.1172,0.3118,0.0217,0.0109,0.3764,0.0084,0.0203,0.019,0.0444,0.0936,0.1237,0.428,0.5496,0.1786,0.2621,0.0417,0.1521,0.0194,0.047,0.0,0.001,0.0,0.0057,0.0104,0.0182,0.0012,0.0016,0.0,0.0001,0.0001,0.0018,0.0,0.0005,0.0003,0.0206,0.0005,0.0197,0.0009,0.0002,0.011,0.0004,0.0003,0.0103,0.0,0.1188,0.0057,0.006,0.0002,0.0,0.0001,0.0,0.0005,0.0002,0.0,0.0037,0.011,0.0011,0.0055,0.0048,0.0089,0.0067,0.0195,0.0009,0.0,0.0,0.4647,0.006,10.5998,2.1404,5.9197,2.2364,0.4666,0.7402,1.7029,0.0748,1.1125,0.8828,0.8973,0.6582,1.7363,1.7405,1.5687,0.3216,1.1952,0.8092,1.2804,1.1624,1.5755,0.834,30.3249,3.7929,1.6013,0.007,0.1017,0.1728,0.1313,0.691,0.933,6.8829,5.7978,2.8396,22.1303,22.8835,4.3362,42.6479,2.7678,2.269,0.7169,0.6996,0.0,155.24400000000048
CAN_C10T12,2336.1281,52.974,128.5311,38.1351,31.8724,9066.181,31.0339,36.9308,110.4978,48.4627,94.0878,90.8808,94.4902,40.6675,86.7752,61.843,38.3536,20.7588,67.747,98.9066,64.0351,78.8534,53.6986,12.4367,395.2546,989.069,51.4052,7.2387,21.2906,37.2882,15.7977,7447.3058,93.7629,89.0491,103.9599,527.7548,225.9556,245.0399,185.7051,429.6063,272.6078,1333.2266,120.1463,91.2592,0.0,58.6911,7.4471,0.2418,0.4561,0.0205,108.3791,11.0971,0.6239,1.5225,0.3449,11.2039,3.2488,1.0757,2.9761,1.2994,0.6013,3.4389,1.6842,1.6783,0.6572,0.2704,0.9686,1.0228,0.4428,2.4155,4.6013,1.1547,0.4006,0.945,0.661,0.07,40.7356,0.2577,0.6111,0.63,0.948,1.5828,3.4098,0.6321,0.7059,1.7445,1.3038,0.3253,0.8426,0.0,2.3037,0.0013,0.0482,0.0452,0.0046,11.5072,0.1378,0.1195,0.3277,1.2788,1.8328,0.3995,0.3579,0.2673,0.6892,0.4704,0.5656,0.5775,1.5374,1.4701,0.3054,0.5805,0.638,0.2987,0.6595,3.643,0.3468,0.1457,0.1014,0.3288,0.1188,5.0537,0.4922,0.3554,0.2877,1.2357,0.7921,1.241,0.6611,1.7006,0.4471,4.2633,0.2196,0.4165,0.0,11.1151,0.0172,0.13,0.0649,0.1289,42.8505,1.6103,0.0278,0.464,0.0666,1.2875,0.8593,0.3357,0.266,0.6321,0.552,2.9228,0.5854,0.5877,1.7756,0.2072,0.3926,0.1774,0.0371,1.4863,3.3569,0.2126,0.0176,0.0488,0.0613,0.0058,8.5015,0.0392,0.0749,0.0112,0.1005,0.0562,0.0693,0.1453,0.7821,0.0336,0.4536,0.0675,0.0541,0.0,349.2638,0.8794,4.6444,1.1754,1.9226,1626.1325,10.4797,5.2688,35.8889,17.7256,44.5364,22.5033,10.6956,5.4513,16.5138,16.5426,8.328,5.3944,17.5412,13.6183,8.3062,9.7042,5.3525,1.2496,38.3789,90.7432,2.7143,2.3105,2.445,0.9028,0.823,406.0183,3.2646,3.1523,2.207,3.4511,4.91,18.5335,5.1798,263.3012,163.9841,155.5639,37.1776,14.2655,0.0,1642.0591000000004
CAN_C13T15,65.8577,28.9182,6.8705,3.7126,2.1912,29.6946,442.3826,10.922,30.7314,7.7977,43.9895,2.4965,62.8591,13.476,10.383,12.8491,4.1505,4.2316,13.8935,28.2914,6.2211,218.335,3.6089,1.677,407.0974,69.7608,17.6541,5.956,2.0285,9.8453,4.0928,67.5038,7.0855,4.9702,6.1343,21.6809,10.4276,24.1393,15.1612,56.7707,23.5546,134.1887,8.6725,46.3275,0.0,0.1318,0.0065,0.0291,0.058,0.0028,0.1924,5.429,0.0468,0.2205,0.0182,0.4992,0.048,0.2661,0.385,0.1644,0.0873,0.3907,0.2105,0.2119,0.134,0.037,0.365,0.0557,0.0345,0.3266,0.1996,0.0363,0.0118,0.0162,0.0257,0.0059,0.0799,0.0159,0.0294,0.0301,0.04,0.077,0.2488,0.0638,0.0735,0.0378,0.0865,0.0086,0.0429,0.0,0.0234,0.0037,0.0054,0.0042,0.0004,0.0962,0.4607,0.0121,0.029,0.1593,0.0715,0.0231,0.1028,0.0246,0.0859,0.0616,0.0626,0.0586,0.1597,0.1968,0.0415,0.1239,0.0623,0.016,0.0845,0.2665,0.0185,0.0038,0.0108,0.015,0.0075,0.0252,0.0203,0.0217,0.0269,0.0434,0.0261,0.0506,0.0261,0.0798,0.0137,0.0874,0.022,0.0183,0.0,0.2388,0.0248,0.0168,0.0247,0.016,0.3704,13.2388,0.0426,1.0375,0.011,0.1122,0.0328,0.6791,0.0637,0.0901,0.1098,1.2199,0.1692,0.1293,3.4597,0.0441,1.3819,0.0248,0.0259,0.3771,1.1597,0.1814,0.0041,0.0106,0.0215,0.0095,0.5149,0.0484,0.0103,0.0017,0.0107,0.022,0.0444,0.1123,0.1557,0.0693,0.6373,0.0106,0.0238,0.0,2.3146,0.1263,0.5903,0.143,0.2112,3.3493,54.1118,4.155,13.8539,2.2169,2.9589,0.6639,10.1515,2.061,2.1443,2.7366,1.1578,0.7292,5.8858,17.3214,4.8035,23.6787,0.6904,0.6453,19.1002,21.0044,0.4102,1.1112,0.1811,0.1741,0.2975,8.6653,0.9003,1.631,0.3157,0.4669,0.8823,1.789,1.9884,16.1437,3.5751,15.8196,2.4778,6.0139,0.0,54.49990000000048
CAN_C16,71.68,12.6726,27.3799,11.8033,6.558,50.0037,18.3816,2601.6477,1818.5132,17.6077,29.2707,3.5469,66.7797,48.2377,29.9314,74.6351,12.9582,13.9755,38.7474,76.0579,20.1528,1266.8451,32.8896,2.9306,7362.6951,240.4897,24.1542,1.0093,3.9547,11.3874,13.3241,22.4566,16.3087,15.9935,21.953,109.1234,40.5457,53.9366,42.9848,83.2702,19.5653,75.9337,17.5424,123.2386,0.0,0.3887,0.0858,1.3428,0.4135,0.0065,0.6869,0.51,33.547,3.2364,0.0985,1.1005,0.1255,0.5671,3.692,0.8286,5.0681,1.4538,1.5998,2.5626,0.7584,0.4256,17.7807,0.292,0.4503,22.9518,0.8351,0.302,0.0768,0.0306,0.0665,0.0327,0.1972,0.3731,0.1089,0.0895,0.1845,0.4842,0.8129,0.0869,1.3449,1.8737,1.3618,0.1932,0.2817,0.0,0.0912,0.0012,0.0218,0.0246,0.002,0.3635,0.0414,4.5751,0.5369,0.1298,0.3609,0.0757,0.0966,0.127,0.1685,0.3612,0.1913,0.183,0.8218,0.5568,0.1988,3.0851,0.1684,0.1083,4.4978,0.8045,0.0814,0.0105,0.0164,0.1144,0.0294,0.1115,0.0999,0.0919,0.07,0.2604,0.2918,0.3484,0.2014,0.3605,0.1489,0.3231,0.0728,0.6691,0.0,0.356,0.0011,0.1263,0.0289,0.8469,1.4743,0.1512,2.6863,0.3985,0.1308,0.1918,0.0977,0.2054,0.5495,0.3617,0.6747,1.6922,0.3892,0.3753,1.0752,0.2657,9.1693,0.0213,0.0118,9.7735,3.6354,0.0331,0.0048,0.025,0.0402,0.0086,0.0356,0.0149,0.2506,0.0017,0.0321,0.026,0.019,0.0566,0.0253,0.0135,0.0164,0.128,0.0307,0.0,16.0626,1.0067,4.2143,0.5703,5.9666,12.8046,2.7516,804.3905,184.481,1.5497,13.026,1.5253,66.7191,20.5754,20.757,31.8019,15.2357,10.7796,44.2589,90.6903,12.6661,311.4557,0.6058,1.022,1845.7731,138.7611,58.9491,0.1532,0.2087,4.566,2.5089,48.1419,20.8059,21.5636,37.9992,6.0464,148.1136,21.6784,28.7977,47.4938,75.7272,57.8754,5.8821,14.545,0.0,1181.1281999999987
CAN_C17_18,111.4723,24.3742,155.8833,28.2237,22.0308,1325.7311,35.944,35.8145,4779.182,121.2338,179.4918,108.2744,147.7021,165.3665,49.0138,72.0264,27.8478,50.3119,42.1082,64.9645,70.3799,211.7857,71.3802,39.1211,482.457,948.4791,42.7917,8.3023,15.1145,82.3381,70.3519,208.8568,1756.227,464.9552,273.7974,1111.2119,187.9553,337.5016,197.4097,146.2043,368.5776,805.9013,524.2108,290.8348,0.0,1.3712,0.1833,0.5079,0.787,0.0288,62.0132,27.8229,11.0988,430.6313,0.3949,37.645,16.6649,20.9705,70.7852,3.5611,16.0567,38.3087,39.0011,24.2318,5.895,2.6154,25.1189,2.1955,1.1794,7.625,12.8438,1.3596,0.131,0.1547,0.5928,0.2898,4.3789,11.4135,2.0596,12.9344,16.4536,8.744,76.1592,8.0766,14.3474,17.2255,5.3548,0.1133,3.4643,0.0,0.1458,0.007,0.0388,0.2522,0.0033,10.6802,1.0482,0.2673,42.0382,0.2893,4.8937,1.8092,1.4824,0.9623,0.299,1.3196,2.0359,1.9427,1.8551,1.4524,0.2449,1.9507,0.2949,0.2703,1.2127,8.2916,0.2742,0.0261,0.0395,0.3144,0.1885,0.3761,2.0983,0.3911,0.4681,1.034,0.3811,3.7096,1.2927,1.4445,0.7156,1.4455,0.4183,0.3598,0.0,2.1847,0.0041,0.0293,0.126,0.075,17.0619,2.3538,0.0683,80.8491,0.2096,6.6426,3.0947,2.9039,7.7918,1.0729,2.3723,13.4098,3.4565,0.8757,5.3805,0.1127,3.7929,0.2548,0.1713,2.349,25.2011,0.6244,0.0178,0.0446,0.7055,0.0652,3.1682,0.7856,0.0674,0.0057,7.1903,2.453,4.5593,4.6495,9.6654,1.9195,3.1568,0.3446,1.1231,0.0,20.7581,0.007,7.0406,7.4881,6.0671,1218.0965,34.7822,34.2341,3117.3272,4.3507,274.998,59.0508,235.9141,92.3706,110.1906,130.2368,82.2243,61.6289,132.279,101.9721,34.6707,196.6709,2.8999,11.9817,137.5944,418.4686,44.2537,2.0532,1.824,85.9972,45.1662,215.0928,235.1164,20.7878,30.0503,147.9464,29.6763,215.2998,193.6561,418.55,289.0975,222.6888,18.6664,56.3606,0.0,2777.047800000012
CAN_C19,1631.2117,345.5549,877.5841,666.7642,346.2582,240.6948,19.2011,150.8716,251.9401,3504.6821,1423.2188,22.7639,59.5141,292.6198,633.9221,133.1513,25.0343,35.7103,118.4978,51.8544,52.6059,444.1461,470.5862,335.1804,4218.7295,4423.0367,7297.0668,1086.4281,4722.4845,403.6058,526.5948,233.8259,71.5197,140.1215,31.9557,1006.0401,742.3545,378.3025,1217.7512,1340.5259,677.0377,986.6295,131.4329,418.4257,0.0,0.9153,0.0518,0.1913,0.4212,0.0232,0.8115,0.7323,0.2558,0.8878,1.1713,4.4843,0.2041,1.1403,2.1103,1.6043,0.4207,1.9399,1.0021,1.0064,0.3634,0.1745,0.3063,0.6344,0.118,1.8614,0.6287,0.9159,0.4073,0.2808,0.374,0.0355,0.2003,0.0604,0.1528,0.1672,0.2471,0.3979,0.8966,0.2098,0.1939,0.1596,0.2526,0.0258,0.1002,0.0,2.1116,0.0101,0.805,0.2135,0.0326,3.1372,0.4208,0.4454,1.57,59.771,6.3816,0.5282,1.4053,1.5098,9.1802,1.1899,0.5756,0.8143,1.3464,1.7599,0.2571,0.6446,8.5409,0.4289,3.7847,7.4905,5.326,2.1469,4.2098,3.7393,0.588,0.5897,0.4315,0.2965,0.322,0.682,0.2593,1.5038,0.8581,2.0229,0.8813,1.4753,0.4204,0.6507,0.0,0.4412,0.0645,0.3009,0.2761,0.0949,1.2777,0.2721,0.0451,0.2684,4.1371,0.9336,0.1711,0.3286,0.533,0.6079,0.4009,1.7977,0.3911,0.3576,1.1045,0.1272,0.3203,0.8967,0.067,1.641,0.5667,3.2381,0.0228,0.6523,0.0569,0.043,0.1927,0.0349,0.0979,0.0037,0.0443,0.5366,0.1258,0.1357,0.4743,0.0411,0.1582,0.0434,0.0989,0.0,194.9689,4.1672,169.4275,62.0555,64.0539,77.03,9.7914,27.782,119.3953,922.9455,421.2499,23.8469,34.3554,110.2123,93.9158,41.0891,16.9865,26.8618,57.5943,18.6326,12.0342,26.1292,667.9629,38.22,600.368,132.1838,661.6924,119.172,618.0222,40.3472,102.8363,67.9426,10.2549,8.4909,17.9048,196.0434,51.87,66.4076,119.0134,1660.8142,555.8029,89.5523,23.9152,61.3357,0.0,978.4760999999994
